"epoch","Width only variation : 2048 - test_accuracy","Width only variation : 2048 - test_accuracy__MIN","Width only variation : 2048 - test_accuracy__MAX","Width only variation : 2048 - _step","Width only variation : 2048 - _step__MIN","Width only variation : 2048 - _step__MAX","Width only variation : 2048 - train_accuracy","Width only variation : 2048 - train_accuracy__MIN","Width only variation : 2048 - train_accuracy__MAX","Width only variation : 1024 - test_accuracy","Width only variation : 1024 - test_accuracy__MIN","Width only variation : 1024 - test_accuracy__MAX","Width only variation : 1024 - _step","Width only variation : 1024 - _step__MIN","Width only variation : 1024 - _step__MAX","Width only variation : 1024 - train_accuracy","Width only variation : 1024 - train_accuracy__MIN","Width only variation : 1024 - train_accuracy__MAX","Width only variation : 512 - test_accuracy","Width only variation : 512 - test_accuracy__MIN","Width only variation : 512 - test_accuracy__MAX","Width only variation : 512 - _step","Width only variation : 512 - _step__MIN","Width only variation : 512 - _step__MAX","Width only variation : 512 - train_accuracy","Width only variation : 512 - train_accuracy__MIN","Width only variation : 512 - train_accuracy__MAX","Width only variation : 256 - test_accuracy","Width only variation : 256 - test_accuracy__MIN","Width only variation : 256 - test_accuracy__MAX","Width only variation : 256 - _step","Width only variation : 256 - _step__MIN","Width only variation : 256 - _step__MAX","Width only variation : 256 - train_accuracy","Width only variation : 256 - train_accuracy__MIN","Width only variation : 256 - train_accuracy__MAX","Width only variation : 128 - test_accuracy","Width only variation : 128 - test_accuracy__MIN","Width only variation : 128 - test_accuracy__MAX","Width only variation : 128 - _step","Width only variation : 128 - _step__MIN","Width only variation : 128 - _step__MAX","Width only variation : 128 - train_accuracy","Width only variation : 128 - train_accuracy__MIN","Width only variation : 128 - train_accuracy__MAX","Width only variation : 64 - test_accuracy","Width only variation : 64 - test_accuracy__MIN","Width only variation : 64 - test_accuracy__MAX","Width only variation : 64 - _step","Width only variation : 64 - _step__MIN","Width only variation : 64 - _step__MAX","Width only variation : 64 - train_accuracy","Width only variation : 64 - train_accuracy__MIN","Width only variation : 64 - train_accuracy__MAX","Width only variation : 32 - test_accuracy","Width only variation : 32 - test_accuracy__MIN","Width only variation : 32 - test_accuracy__MAX","Width only variation : 32 - _step","Width only variation : 32 - _step__MIN","Width only variation : 32 - _step__MAX","Width only variation : 32 - train_accuracy","Width only variation : 32 - train_accuracy__MIN","Width only variation : 32 - train_accuracy__MAX","Baseline - test_accuracy","Baseline - test_accuracy__MIN","Baseline - test_accuracy__MAX","Baseline - _step","Baseline - _step__MIN","Baseline - _step__MAX","Baseline - train_accuracy","Baseline - train_accuracy__MIN","Baseline - train_accuracy__MAX"
"0","0.19090909090909092","0.19090909090909092","0.19090909090909092","0","0","0","0.13114942528735632","0.13114942528735632","0.13114942528735632","0.21272727272727274","0.21272727272727274","0.21272727272727274","0","0","0","0.14183908045977012","0.14183908045977012","0.14183908045977012","0.2040909090909091","0.2040909090909091","0.2040909090909091","0","0","0","0.15091954022988505","0.15091954022988505","0.15091954022988505","0.20909090909090908","0.20909090909090908","0.20909090909090908","0","0","0","0.15091954022988505","0.15091954022988505","0.15091954022988505","0.14045454545454544","0.14045454545454544","0.14045454545454544","0","0","0","0.11758620689655172","0.11758620689655172","0.11758620689655172","0.1159090909090909","0.1159090909090909","0.1159090909090909","0","0","0","0.10333333333333333","0.10333333333333333","0.10333333333333333","0.14545454545454545","0.14545454545454545","0.14545454545454545","0","0","0","0.10758620689655173","0.10758620689655173","0.10758620689655173","0.19","0.19","0.19","0","0","0","0.1579310344827586","0.1579310344827586","0.1579310344827586"
"1","0.2159090909090909","0.2159090909090909","0.2159090909090909","1","1","1","0.20206896551724138","0.20206896551724138","0.20206896551724138","0.22045454545454546","0.22045454545454546","0.22045454545454546","1","1","1","0.21344827586206896","0.21344827586206896","0.21344827586206896","0.21636363636363637","0.21636363636363637","0.21636363636363637","1","1","1","0.22310344827586207","0.22310344827586207","0.22310344827586207","0.2381818181818182","0.2381818181818182","0.2381818181818182","1","1","1","0.2217241379310345","0.2217241379310345","0.2217241379310345","0.19227272727272726","0.19227272727272726","0.19227272727272726","1","1","1","0.18310344827586206","0.18310344827586206","0.18310344827586206","0.10954545454545454","0.10954545454545454","0.10954545454545454","1","1","1","0.10919540229885058","0.10919540229885058","0.10919540229885058","0.15045454545454545","0.15045454545454545","0.15045454545454545","1","1","1","0.1345977011494253","0.1345977011494253","0.1345977011494253","0.22272727272727272","0.22272727272727272","0.22272727272727272","1","1","1","0.2232183908045977","0.2232183908045977","0.2232183908045977"
"2","0.2290909090909091","0.2290909090909091","0.2290909090909091","2","2","2","0.22149425287356322","0.22149425287356322","0.22149425287356322","0.2240909090909091","0.2240909090909091","0.2240909090909091","2","2","2","0.24379310344827587","0.24379310344827587","0.24379310344827587","0.2240909090909091","0.2240909090909091","0.2240909090909091","2","2","2","0.24574712643678162","0.24574712643678162","0.24574712643678162","0.21954545454545454","0.21954545454545454","0.21954545454545454","2","2","2","0.2481609195402299","0.2481609195402299","0.2481609195402299","0.21818181818181817","0.21818181818181817","0.21818181818181817","2","2","2","0.20735632183908045","0.20735632183908045","0.20735632183908045","0.10863636363636364","0.10863636363636364","0.10863636363636364","2","2","2","0.11551724137931034","0.11551724137931034","0.11551724137931034","0.1459090909090909","0.1459090909090909","0.1459090909090909","2","2","2","0.14574712643678162","0.14574712643678162","0.14574712643678162","0.2340909090909091","0.2340909090909091","0.2340909090909091","2","2","2","0.2442528735632184","0.2442528735632184","0.2442528735632184"
"3","0.2409090909090909","0.2409090909090909","0.2409090909090909","3","3","3","0.2501149425287356","0.2501149425287356","0.2501149425287356","0.23545454545454544","0.23545454545454544","0.23545454545454544","3","3","3","0.25701149425287356","0.25701149425287356","0.25701149425287356","0.235","0.235","0.235","3","3","3","0.2611494252873563","0.2611494252873563","0.2611494252873563","0.23727272727272727","0.23727272727272727","0.23727272727272727","3","3","3","0.25275862068965516","0.25275862068965516","0.25275862068965516","0.22727272727272727","0.22727272727272727","0.22727272727272727","3","3","3","0.24597701149425288","0.24597701149425288","0.24597701149425288","0.15045454545454545","0.15045454545454545","0.15045454545454545","3","3","3","0.15827586206896552","0.15827586206896552","0.15827586206896552","0.16045454545454546","0.16045454545454546","0.16045454545454546","3","3","3","0.1589655172413793","0.1589655172413793","0.1589655172413793","0.23681818181818182","0.23681818181818182","0.23681818181818182","3","3","3","0.27","0.27","0.27"
"4","0.2409090909090909","0.2409090909090909","0.2409090909090909","4","4","4","0.2639080459770115","0.2639080459770115","0.2639080459770115","0.22","0.22","0.22","4","4","4","0.26517241379310347","0.26517241379310347","0.26517241379310347","0.25136363636363634","0.25136363636363634","0.25136363636363634","4","4","4","0.27011494252873564","0.27011494252873564","0.27011494252873564","0.245","0.245","0.245","4","4","4","0.28","0.28","0.28","0.24272727272727274","0.24272727272727274","0.24272727272727274","4","4","4","0.2589655172413793","0.2589655172413793","0.2589655172413793","0.17727272727272728","0.17727272727272728","0.17727272727272728","4","4","4","0.17862068965517242","0.17862068965517242","0.17862068965517242","0.17181818181818181","0.17181818181818181","0.17181818181818181","4","4","4","0.16827586206896553","0.16827586206896553","0.16827586206896553","0.2586363636363636","0.2586363636363636","0.2586363636363636","4","4","4","0.28229885057471266","0.28229885057471266","0.28229885057471266"
"5","0.24818181818181817","0.24818181818181817","0.24818181818181817","5","5","5","0.2736781609195402","0.2736781609195402","0.2736781609195402","0.2431818181818182","0.2431818181818182","0.2431818181818182","5","5","5","0.27735632183908043","0.27735632183908043","0.27735632183908043","0.25272727272727274","0.25272727272727274","0.25272727272727274","5","5","5","0.2874712643678161","0.2874712643678161","0.2874712643678161","0.2559090909090909","0.2559090909090909","0.2559090909090909","5","5","5","0.29379310344827586","0.29379310344827586","0.29379310344827586","0.24","0.24","0.24","5","5","5","0.2579310344827586","0.2579310344827586","0.2579310344827586","0.18454545454545454","0.18454545454545454","0.18454545454545454","5","5","5","0.19758620689655174","0.19758620689655174","0.19758620689655174","0.1731818181818182","0.1731818181818182","0.1731818181818182","5","5","5","0.1706896551724138","0.1706896551724138","0.1706896551724138","0.25681818181818183","0.25681818181818183","0.25681818181818183","5","5","5","0.3","0.3","0.3"
"6","0.24409090909090908","0.24409090909090908","0.24409090909090908","6","6","6","0.2910344827586207","0.2910344827586207","0.2910344827586207","0.24181818181818182","0.24181818181818182","0.24181818181818182","6","6","6","0.29735632183908045","0.29735632183908045","0.29735632183908045","0.2722727272727273","0.2722727272727273","0.2722727272727273","6","6","6","0.30896551724137933","0.30896551724137933","0.30896551724137933","0.25181818181818183","0.25181818181818183","0.25181818181818183","6","6","6","0.30298850574712644","0.30298850574712644","0.30298850574712644","0.2509090909090909","0.2509090909090909","0.2509090909090909","6","6","6","0.27793103448275863","0.27793103448275863","0.27793103448275863","0.21","0.21","0.21","6","6","6","0.20873563218390806","0.20873563218390806","0.20873563218390806","0.17272727272727273","0.17272727272727273","0.17272727272727273","6","6","6","0.1764367816091954","0.1764367816091954","0.1764367816091954","0.2018181818181818","0.2018181818181818","0.2018181818181818","6","6","6","0.2852873563218391","0.2852873563218391","0.2852873563218391"
"7","0.2540909090909091","0.2540909090909091","0.2540909090909091","7","7","7","0.2979310344827586","0.2979310344827586","0.2979310344827586","0.235","0.235","0.235","7","7","7","0.2966666666666667","0.2966666666666667","0.2966666666666667","0.2540909090909091","0.2540909090909091","0.2540909090909091","7","7","7","0.3128735632183908","0.3128735632183908","0.3128735632183908","0.23136363636363635","0.23136363636363635","0.23136363636363635","7","7","7","0.29954022988505746","0.29954022988505746","0.29954022988505746","0.24181818181818182","0.24181818181818182","0.24181818181818182","7","7","7","0.2775862068965517","0.2775862068965517","0.2775862068965517","0.2059090909090909","0.2059090909090909","0.2059090909090909","7","7","7","0.21333333333333335","0.21333333333333335","0.21333333333333335","0.16545454545454547","0.16545454545454547","0.16545454545454547","7","7","7","0.18367816091954023","0.18367816091954023","0.18367816091954023","0.24909090909090909","0.24909090909090909","0.24909090909090909","7","7","7","0.2967816091954023","0.2967816091954023","0.2967816091954023"
"8","0.25545454545454543","0.25545454545454543","0.25545454545454543","8","8","8","0.30505747126436783","0.30505747126436783","0.30505747126436783","0.26136363636363635","0.26136363636363635","0.26136363636363635","8","8","8","0.30908045977011495","0.30908045977011495","0.30908045977011495","0.22318181818181818","0.22318181818181818","0.22318181818181818","8","8","8","0.3102298850574713","0.3102298850574713","0.3102298850574713","0.2409090909090909","0.2409090909090909","0.2409090909090909","8","8","8","0.315632183908046","0.315632183908046","0.315632183908046","0.25727272727272726","0.25727272727272726","0.25727272727272726","8","8","8","0.2906896551724138","0.2906896551724138","0.2906896551724138","0.19772727272727272","0.19772727272727272","0.19772727272727272","8","8","8","0.22310344827586207","0.22310344827586207","0.22310344827586207","0.17909090909090908","0.17909090909090908","0.17909090909090908","8","8","8","0.1860919540229885","0.1860919540229885","0.1860919540229885","0.24727272727272728","0.24727272727272728","0.24727272727272728","8","8","8","0.30770114942528737","0.30770114942528737","0.30770114942528737"
"9","0.24454545454545454","0.24454545454545454","0.24454545454545454","9","9","9","0.30540229885057474","0.30540229885057474","0.30540229885057474","0.24863636363636363","0.24863636363636363","0.24863636363636363","9","9","9","0.3306896551724138","0.3306896551724138","0.3306896551724138","0.24363636363636362","0.24363636363636362","0.24363636363636362","9","9","9","0.3203448275862069","0.3203448275862069","0.3203448275862069","0.26954545454545453","0.26954545454545453","0.26954545454545453","9","9","9","0.315632183908046","0.315632183908046","0.315632183908046","0.25772727272727275","0.25772727272727275","0.25772727272727275","9","9","9","0.29091954022988503","0.29091954022988503","0.29091954022988503","0.21272727272727274","0.21272727272727274","0.21272727272727274","9","9","9","0.22229885057471263","0.22229885057471263","0.22229885057471263","0.16863636363636364","0.16863636363636364","0.16863636363636364","9","9","9","0.18551724137931033","0.18551724137931033","0.18551724137931033","0.24454545454545454","0.24454545454545454","0.24454545454545454","9","9","9","0.3198850574712644","0.3198850574712644","0.3198850574712644"
