"epoch","Depth only variation : 6 - test_accuracy","Depth only variation : 6 - test_accuracy__MIN","Depth only variation : 6 - test_accuracy__MAX","Depth only variation : 6 - _step","Depth only variation : 6 - _step__MIN","Depth only variation : 6 - _step__MAX","Depth only variation : 6 - train_accuracy","Depth only variation : 6 - train_accuracy__MIN","Depth only variation : 6 - train_accuracy__MAX","Depth only variation : 5 - test_accuracy","Depth only variation : 5 - test_accuracy__MIN","Depth only variation : 5 - test_accuracy__MAX","Depth only variation : 5 - _step","Depth only variation : 5 - _step__MIN","Depth only variation : 5 - _step__MAX","Depth only variation : 5 - train_accuracy","Depth only variation : 5 - train_accuracy__MIN","Depth only variation : 5 - train_accuracy__MAX","Depth only variation : 4 - test_accuracy","Depth only variation : 4 - test_accuracy__MIN","Depth only variation : 4 - test_accuracy__MAX","Depth only variation : 4 - _step","Depth only variation : 4 - _step__MIN","Depth only variation : 4 - _step__MAX","Depth only variation : 4 - train_accuracy","Depth only variation : 4 - train_accuracy__MIN","Depth only variation : 4 - train_accuracy__MAX","Depth only variation : 3 - test_accuracy","Depth only variation : 3 - test_accuracy__MIN","Depth only variation : 3 - test_accuracy__MAX","Depth only variation : 3 - _step","Depth only variation : 3 - _step__MIN","Depth only variation : 3 - _step__MAX","Depth only variation : 3 - train_accuracy","Depth only variation : 3 - train_accuracy__MIN","Depth only variation : 3 - train_accuracy__MAX","Depth only variation : 2 - test_accuracy","Depth only variation : 2 - test_accuracy__MIN","Depth only variation : 2 - test_accuracy__MAX","Depth only variation : 2 - _step","Depth only variation : 2 - _step__MIN","Depth only variation : 2 - _step__MAX","Depth only variation : 2 - train_accuracy","Depth only variation : 2 - train_accuracy__MIN","Depth only variation : 2 - train_accuracy__MAX","Depth only variation : 1 - test_accuracy","Depth only variation : 1 - test_accuracy__MIN","Depth only variation : 1 - test_accuracy__MAX","Depth only variation : 1 - _step","Depth only variation : 1 - _step__MIN","Depth only variation : 1 - _step__MAX","Depth only variation : 1 - train_accuracy","Depth only variation : 1 - train_accuracy__MIN","Depth only variation : 1 - train_accuracy__MAX"
"0","0.15636363636363637","0.15636363636363637","0.15636363636363637","0","0","0","0.10919540229885058","0.10919540229885058","0.10919540229885058","0.1859090909090909","0.1859090909090909","0.1859090909090909","0","0","0","0.12333333333333334","0.12333333333333334","0.12333333333333334","0.175","0.175","0.175","0","0","0","0.12229885057471264","0.12229885057471264","0.12229885057471264","0.16","0.16","0.16","0","0","0","0.12747126436781608","0.12747126436781608","0.12747126436781608","0.1640909090909091","0.1640909090909091","0.1640909090909091","0","0","0","0.12770114942528735","0.12770114942528735","0.12770114942528735","0.17045454545454544","0.17045454545454544","0.17045454545454544","0","0","0","0.11160919540229886","0.11160919540229886","0.11160919540229886"
"1","0.16272727272727272","0.16272727272727272","0.16272727272727272","1","1","1","0.14908045977011494","0.14908045977011494","0.14908045977011494","0.19954545454545455","0.19954545454545455","0.19954545454545455","1","1","1","0.16436781609195403","0.16436781609195403","0.16436781609195403","0.17863636363636365","0.17863636363636365","0.17863636363636365","1","1","1","0.165632183908046","0.165632183908046","0.165632183908046","0.17545454545454545","0.17545454545454545","0.17545454545454545","1","1","1","0.16344827586206898","0.16344827586206898","0.16344827586206898","0.20545454545454545","0.20545454545454545","0.20545454545454545","1","1","1","0.1664367816091954","0.1664367816091954","0.1664367816091954","0.19090909090909092","0.19090909090909092","0.19090909090909092","1","1","1","0.16793103448275862","0.16793103448275862","0.16793103448275862"
"2","0.1890909090909091","0.1890909090909091","0.1890909090909091","2","2","2","0.16091954022988506","0.16091954022988506","0.16091954022988506","0.195","0.195","0.195","2","2","2","0.1764367816091954","0.1764367816091954","0.1764367816091954","0.1968181818181818","0.1968181818181818","0.1968181818181818","2","2","2","0.18045977011494252","0.18045977011494252","0.18045977011494252","0.19545454545454546","0.19545454545454546","0.19545454545454546","2","2","2","0.17758620689655172","0.17758620689655172","0.17758620689655172","0.21681818181818183","0.21681818181818183","0.21681818181818183","2","2","2","0.17367816091954022","0.17367816091954022","0.17367816091954022","0.2009090909090909","0.2009090909090909","0.2009090909090909","2","2","2","0.17666666666666667","0.17666666666666667","0.17666666666666667"
"3","0.19227272727272726","0.19227272727272726","0.19227272727272726","3","3","3","0.18045977011494252","0.18045977011494252","0.18045977011494252","0.19772727272727272","0.19772727272727272","0.19772727272727272","3","3","3","0.18701149425287356","0.18701149425287356","0.18701149425287356","0.21181818181818182","0.21181818181818182","0.21181818181818182","3","3","3","0.1888505747126437","0.1888505747126437","0.1888505747126437","0.20863636363636365","0.20863636363636365","0.20863636363636365","3","3","3","0.18632183908045977","0.18632183908045977","0.18632183908045977","0.2190909090909091","0.2190909090909091","0.2190909090909091","3","3","3","0.1867816091954023","0.1867816091954023","0.1867816091954023","0.20681818181818182","0.20681818181818182","0.20681818181818182","3","3","3","0.1774712643678161","0.1774712643678161","0.1774712643678161"
"4","0.20863636363636365","0.20863636363636365","0.20863636363636365","4","4","4","0.18436781609195402","0.18436781609195402","0.18436781609195402","0.21363636363636362","0.21363636363636362","0.21363636363636362","4","4","4","0.18689655172413794","0.18689655172413794","0.18689655172413794","0.215","0.215","0.215","4","4","4","0.19413793103448276","0.19413793103448276","0.19413793103448276","0.21181818181818182","0.21181818181818182","0.21181818181818182","4","4","4","0.19057471264367817","0.19057471264367817","0.19057471264367817","0.22727272727272727","0.22727272727272727","0.22727272727272727","4","4","4","0.18563218390804598","0.18563218390804598","0.18563218390804598","0.2","0.2","0.2","4","4","4","0.1735632183908046","0.1735632183908046","0.1735632183908046"
"5","0.19772727272727272","0.19772727272727272","0.19772727272727272","5","5","5","0.19528735632183908","0.19528735632183908","0.19528735632183908","0.2109090909090909","0.2109090909090909","0.2109090909090909","5","5","5","0.19540229885057472","0.19540229885057472","0.19540229885057472","0.22590909090909092","0.22590909090909092","0.22590909090909092","5","5","5","0.18482758620689654","0.18482758620689654","0.18482758620689654","0.21045454545454545","0.21045454545454545","0.21045454545454545","5","5","5","0.19586206896551725","0.19586206896551725","0.19586206896551725","0.18136363636363637","0.18136363636363637","0.18136363636363637","5","5","5","0.17896551724137932","0.17896551724137932","0.17896551724137932","0.19590909090909092","0.19590909090909092","0.19590909090909092","5","5","5","0.1767816091954023","0.1767816091954023","0.1767816091954023"
"6","0.21454545454545454","0.21454545454545454","0.21454545454545454","6","6","6","0.19655172413793104","0.19655172413793104","0.19655172413793104","0.21454545454545454","0.21454545454545454","0.21454545454545454","6","6","6","0.19666666666666666","0.19666666666666666","0.19666666666666666","0.22863636363636364","0.22863636363636364","0.22863636363636364","6","6","6","0.20011494252873563","0.20011494252873563","0.20011494252873563","0.22863636363636364","0.22863636363636364","0.22863636363636364","6","6","6","0.1918390804597701","0.1918390804597701","0.1918390804597701","0.225","0.225","0.225","6","6","6","0.19448275862068964","0.19448275862068964","0.19448275862068964","0.225","0.225","0.225","6","6","6","0.18448275862068966","0.18448275862068966","0.18448275862068966"
"7","0.21727272727272728","0.21727272727272728","0.21727272727272728","7","7","7","0.19195402298850575","0.19195402298850575","0.19195402298850575","0.21181818181818182","0.21181818181818182","0.21181818181818182","7","7","7","0.195632183908046","0.195632183908046","0.195632183908046","0.2318181818181818","0.2318181818181818","0.2318181818181818","7","7","7","0.19804597701149426","0.19804597701149426","0.19804597701149426","0.23454545454545456","0.23454545454545456","0.23454545454545456","7","7","7","0.19114942528735632","0.19114942528735632","0.19114942528735632","0.21818181818181817","0.21818181818181817","0.21818181818181817","7","7","7","0.1928735632183908","0.1928735632183908","0.1928735632183908","0.19136363636363637","0.19136363636363637","0.19136363636363637","7","7","7","0.1835632183908046","0.1835632183908046","0.1835632183908046"
"8","0.22545454545454546","0.22545454545454546","0.22545454545454546","8","8","8","0.19701149425287356","0.19701149425287356","0.19701149425287356","0.2159090909090909","0.2159090909090909","0.2159090909090909","8","8","8","0.20103448275862068","0.20103448275862068","0.20103448275862068","0.22954545454545455","0.22954545454545455","0.22954545454545455","8","8","8","0.2024137931034483","0.2024137931034483","0.2024137931034483","0.21863636363636363","0.21863636363636363","0.21863636363636363","8","8","8","0.1960919540229885","0.1960919540229885","0.1960919540229885","0.19818181818181818","0.19818181818181818","0.19818181818181818","8","8","8","0.18701149425287356","0.18701149425287356","0.18701149425287356","0.20636363636363636","0.20636363636363636","0.20636363636363636","8","8","8","0.17977011494252873","0.17977011494252873","0.17977011494252873"
"9","0.21409090909090908","0.21409090909090908","0.21409090909090908","9","9","9","0.20229885057471264","0.20229885057471264","0.20229885057471264","0.2177272727272727","0.2177272727272727","0.2177272727272727","9","9","9","0.20436781609195404","0.20436781609195404","0.20436781609195404","0.2190909090909091","0.2190909090909091","0.2190909090909091","9","9","9","0.20896551724137932","0.20896551724137932","0.20896551724137932","0.21727272727272728","0.21727272727272728","0.21727272727272728","9","9","9","0.20218390804597702","0.20218390804597702","0.20218390804597702","0.1968181818181818","0.1968181818181818","0.1968181818181818","9","9","9","0.18942528735632183","0.18942528735632183","0.18942528735632183","0.21636363636363637","0.21636363636363637","0.21636363636363637","9","9","9","0.18310344827586206","0.18310344827586206","0.18310344827586206"
