"Step","Width only variation : 2048 - test_accuracy","Width only variation : 2048 - test_accuracy__MIN","Width only variation : 2048 - test_accuracy__MAX","Width only variation : 2048 - train_accuracy","Width only variation : 2048 - train_accuracy__MIN","Width only variation : 2048 - train_accuracy__MAX","Width only variation : 1024 - test_accuracy","Width only variation : 1024 - test_accuracy__MIN","Width only variation : 1024 - test_accuracy__MAX","Width only variation : 1024 - train_accuracy","Width only variation : 1024 - train_accuracy__MIN","Width only variation : 1024 - train_accuracy__MAX","Width only variation : 512 - test_accuracy","Width only variation : 512 - test_accuracy__MIN","Width only variation : 512 - test_accuracy__MAX","Width only variation : 512 - train_accuracy","Width only variation : 512 - train_accuracy__MIN","Width only variation : 512 - train_accuracy__MAX","Width only variation : 256 - test_accuracy","Width only variation : 256 - test_accuracy__MIN","Width only variation : 256 - test_accuracy__MAX","Width only variation : 256 - train_accuracy","Width only variation : 256 - train_accuracy__MIN","Width only variation : 256 - train_accuracy__MAX","Width only variation : 128 - test_accuracy","Width only variation : 128 - test_accuracy__MIN","Width only variation : 128 - test_accuracy__MAX","Width only variation : 128 - train_accuracy","Width only variation : 128 - train_accuracy__MIN","Width only variation : 128 - train_accuracy__MAX","Width only variation : 64 - test_accuracy","Width only variation : 64 - test_accuracy__MIN","Width only variation : 64 - test_accuracy__MAX","Width only variation : 64 - train_accuracy","Width only variation : 64 - train_accuracy__MIN","Width only variation : 64 - train_accuracy__MAX","Width only variation : 32 - test_accuracy","Width only variation : 32 - test_accuracy__MIN","Width only variation : 32 - test_accuracy__MAX","Width only variation : 32 - train_accuracy","Width only variation : 32 - train_accuracy__MIN","Width only variation : 32 - train_accuracy__MAX"
"0","0.1590909090909091","0.1590909090909091","0.1590909090909091","0.11494252873563218","0.11494252873563218","0.11494252873563218","0.13636363636363635","0.13636363636363635","0.13636363636363635","0.11689655172413793","0.11689655172413793","0.11689655172413793","0.1740909090909091","0.1740909090909091","0.1740909090909091","0.12747126436781608","0.12747126436781608","0.12747126436781608","0.18272727272727274","0.18272727272727274","0.18272727272727274","0.13045977011494253","0.13045977011494253","0.13045977011494253","0.1668181818181818","0.1668181818181818","0.1668181818181818","0.11","0.11","0.11","0.09136363636363637","0.09136363636363637","0.09136363636363637","0.09712643678160919","0.09712643678160919","0.09712643678160919","0.14863636363636365","0.14863636363636365","0.14863636363636365","0.1035632183908046","0.1035632183908046","0.1035632183908046"
"1","0.17863636363636365","0.17863636363636365","0.17863636363636365","0.16229885057471263","0.16229885057471263","0.16229885057471263","0.18136363636363637","0.18136363636363637","0.18136363636363637","0.15804597701149425","0.15804597701149425","0.15804597701149425","0.19727272727272727","0.19727272727272727","0.19727272727272727","0.15827586206896552","0.15827586206896552","0.15827586206896552","0.1968181818181818","0.1968181818181818","0.1968181818181818","0.17298850574712643","0.17298850574712643","0.17298850574712643","0.17909090909090908","0.17909090909090908","0.17909090909090908","0.157816091954023","0.157816091954023","0.157816091954023","0.09045454545454545","0.09045454545454545","0.09045454545454545","0.09804597701149426","0.09804597701149426","0.09804597701149426","0.14454545454545453","0.14454545454545453","0.14454545454545453","0.13264367816091954","0.13264367816091954","0.13264367816091954"
"2","0.20727272727272728","0.20727272727272728","0.20727272727272728","0.1764367816091954","0.1764367816091954","0.1764367816091954","0.20681818181818182","0.20681818181818182","0.20681818181818182","0.16701149425287357","0.16701149425287357","0.16701149425287357","0.19727272727272727","0.19727272727272727","0.19727272727272727","0.1754022988505747","0.1754022988505747","0.1754022988505747","0.18136363636363637","0.18136363636363637","0.18136363636363637","0.17390804597701148","0.17390804597701148","0.17390804597701148","0.18954545454545454","0.18954545454545454","0.18954545454545454","0.16873563218390805","0.16873563218390805","0.16873563218390805","0.08863636363636364","0.08863636363636364","0.08863636363636364","0.09540229885057472","0.09540229885057472","0.09540229885057472","0.18227272727272728","0.18227272727272728","0.18227272727272728","0.1406896551724138","0.1406896551724138","0.1406896551724138"
"3","0.21818181818181817","0.21818181818181817","0.21818181818181817","0.17942528735632185","0.17942528735632185","0.17942528735632185","0.19363636363636363","0.19363636363636363","0.19363636363636363","0.17632183908045976","0.17632183908045976","0.17632183908045976","0.22818181818181818","0.22818181818181818","0.22818181818181818","0.17471264367816092","0.17471264367816092","0.17471264367816092","0.18","0.18","0.18","0.1781609195402299","0.1781609195402299","0.1781609195402299","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.17655172413793102","0.17655172413793102","0.17655172413793102","0.10136363636363636","0.10136363636363636","0.10136363636363636","0.09298850574712644","0.09298850574712644","0.09298850574712644","0.17772727272727273","0.17772727272727273","0.17772727272727273","0.1549425287356322","0.1549425287356322","0.1549425287356322"
"4","0.21863636363636363","0.21863636363636363","0.21863636363636363","0.18057471264367816","0.18057471264367816","0.18057471264367816","0.2018181818181818","0.2018181818181818","0.2018181818181818","0.17770114942528736","0.17770114942528736","0.17770114942528736","0.205","0.205","0.205","0.18954022988505748","0.18954022988505748","0.18954022988505748","0.2059090909090909","0.2059090909090909","0.2059090909090909","0.1803448275862069","0.1803448275862069","0.1803448275862069","0.205","0.205","0.205","0.18551724137931033","0.18551724137931033","0.18551724137931033","0.09227272727272727","0.09227272727272727","0.09227272727272727","0.09471264367816092","0.09471264367816092","0.09471264367816092","0.16590909090909092","0.16590909090909092","0.16590909090909092","0.16540229885057472","0.16540229885057472","0.16540229885057472"
"5","0.21636363636363637","0.21636363636363637","0.21636363636363637","0.19264367816091954","0.19264367816091954","0.19264367816091954","0.21409090909090908","0.21409090909090908","0.21409090909090908","0.18735632183908046","0.18735632183908046","0.18735632183908046","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.1889655172413793","0.1889655172413793","0.1889655172413793","0.19045454545454546","0.19045454545454546","0.19045454545454546","0.19","0.19","0.19","0.2240909090909091","0.2240909090909091","0.2240909090909091","0.1835632183908046","0.1835632183908046","0.1835632183908046","0.09818181818181818","0.09818181818181818","0.09818181818181818","0.09482758620689655","0.09482758620689655","0.09482758620689655","0.1968181818181818","0.1968181818181818","0.1968181818181818","0.17402298850574713","0.17402298850574713","0.17402298850574713"
"6","0.2240909090909091","0.2240909090909091","0.2240909090909091","0.1881609195402299","0.1881609195402299","0.1881609195402299","0.20045454545454544","0.20045454545454544","0.20045454545454544","0.17862068965517242","0.17862068965517242","0.17862068965517242","0.20727272727272728","0.20727272727272728","0.20727272727272728","0.1857471264367816","0.1857471264367816","0.1857471264367816","0.21363636363636362","0.21363636363636362","0.21363636363636362","0.18241379310344827","0.18241379310344827","0.18241379310344827","0.21545454545454545","0.21545454545454545","0.21545454545454545","0.1918390804597701","0.1918390804597701","0.1918390804597701","0.09090909090909091","0.09090909090909091","0.09090909090909091","0.09793103448275862","0.09793103448275862","0.09793103448275862","0.1809090909090909","0.1809090909090909","0.1809090909090909","0.17758620689655172","0.17758620689655172","0.17758620689655172"
"7","0.195","0.195","0.195","0.1967816091954023","0.1967816091954023","0.1967816091954023","0.2177272727272727","0.2177272727272727","0.2177272727272727","0.19344827586206897","0.19344827586206897","0.19344827586206897","0.21681818181818183","0.21681818181818183","0.21681818181818183","0.19482758620689655","0.19482758620689655","0.19482758620689655","0.22318181818181818","0.22318181818181818","0.22318181818181818","0.1879310344827586","0.1879310344827586","0.1879310344827586","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.19310344827586207","0.19310344827586207","0.19310344827586207","0.09272727272727273","0.09272727272727273","0.09272727272727273","0.09137931034482759","0.09137931034482759","0.09137931034482759","0.19227272727272726","0.19227272727272726","0.19227272727272726","0.17586206896551723","0.17586206896551723","0.17586206896551723"
"8","0.23363636363636364","0.23363636363636364","0.23363636363636364","0.19241379310344828","0.19241379310344828","0.19241379310344828","0.22863636363636364","0.22863636363636364","0.22863636363636364","0.19712643678160918","0.19712643678160918","0.19712643678160918","0.2381818181818182","0.2381818181818182","0.2381818181818182","0.19770114942528735","0.19770114942528735","0.19770114942528735","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.20379310344827586","0.20379310344827586","0.20379310344827586","0.2190909090909091","0.2190909090909091","0.2190909090909091","0.18735632183908046","0.18735632183908046","0.18735632183908046","0.08772727272727272","0.08772727272727272","0.08772727272727272","0.09804597701149426","0.09804597701149426","0.09804597701149426","0.1968181818181818","0.1968181818181818","0.1968181818181818","0.17689655172413793","0.17689655172413793","0.17689655172413793"
"9","0.2109090909090909","0.2109090909090909","0.2109090909090909","0.1985057471264368","0.1985057471264368","0.1985057471264368","0.22954545454545455","0.22954545454545455","0.22954545454545455","0.197816091954023","0.197816091954023","0.197816091954023","0.22863636363636364","0.22863636363636364","0.22863636363636364","0.19873563218390805","0.19873563218390805","0.19873563218390805","0.21136363636363636","0.21136363636363636","0.21136363636363636","0.19402298850574712","0.19402298850574712","0.19402298850574712","0.21227272727272728","0.21227272727272728","0.21227272727272728","0.1867816091954023","0.1867816091954023","0.1867816091954023","0.09090909090909091","0.09090909090909091","0.09090909090909091","0.09908045977011494","0.09908045977011494","0.09908045977011494","0.20318181818181819","0.20318181818181819","0.20318181818181819","0.18241379310344827","0.18241379310344827","0.18241379310344827"
