"Step","(w=512 d=2) Imsize variation : 224x224 - test_accuracy","(w=512 d=2) Imsize variation : 224x224 - test_accuracy__MIN","(w=512 d=2) Imsize variation : 224x224 - test_accuracy__MAX","(w=512 d=2) Imsize variation : 224x224 - test_loss","(w=512 d=2) Imsize variation : 224x224 - test_loss__MIN","(w=512 d=2) Imsize variation : 224x224 - test_loss__MAX","(w=512 d=2) Imsize variation : 224x224 - train_accuracy","(w=512 d=2) Imsize variation : 224x224 - train_accuracy__MIN","(w=512 d=2) Imsize variation : 224x224 - train_accuracy__MAX","(w=512 d=2) Imsize variation : 224x224 - train_loss","(w=512 d=2) Imsize variation : 224x224 - train_loss__MIN","(w=512 d=2) Imsize variation : 224x224 - train_loss__MAX","(w=512 d=2) Imsize variation : 128x128 - test_accuracy","(w=512 d=2) Imsize variation : 128x128 - test_accuracy__MIN","(w=512 d=2) Imsize variation : 128x128 - test_accuracy__MAX","(w=512 d=2) Imsize variation : 128x128 - test_loss","(w=512 d=2) Imsize variation : 128x128 - test_loss__MIN","(w=512 d=2) Imsize variation : 128x128 - test_loss__MAX","(w=512 d=2) Imsize variation : 128x128 - train_accuracy","(w=512 d=2) Imsize variation : 128x128 - train_accuracy__MIN","(w=512 d=2) Imsize variation : 128x128 - train_accuracy__MAX","(w=512 d=2) Imsize variation : 128x128 - train_loss","(w=512 d=2) Imsize variation : 128x128 - train_loss__MIN","(w=512 d=2) Imsize variation : 128x128 - train_loss__MAX","(w=512 d=2) Imsize variation : 64x64 - test_accuracy","(w=512 d=2) Imsize variation : 64x64 - test_accuracy__MIN","(w=512 d=2) Imsize variation : 64x64 - test_accuracy__MAX","(w=512 d=2) Imsize variation : 64x64 - test_loss","(w=512 d=2) Imsize variation : 64x64 - test_loss__MIN","(w=512 d=2) Imsize variation : 64x64 - test_loss__MAX","(w=512 d=2) Imsize variation : 64x64 - train_accuracy","(w=512 d=2) Imsize variation : 64x64 - train_accuracy__MIN","(w=512 d=2) Imsize variation : 64x64 - train_accuracy__MAX","(w=512 d=2) Imsize variation : 64x64 - train_loss","(w=512 d=2) Imsize variation : 64x64 - train_loss__MIN","(w=512 d=2) Imsize variation : 64x64 - train_loss__MAX","(w=512 d=2) Imsize variation : 32x32 - test_accuracy","(w=512 d=2) Imsize variation : 32x32 - test_accuracy__MIN","(w=512 d=2) Imsize variation : 32x32 - test_accuracy__MAX","(w=512 d=2) Imsize variation : 32x32 - test_loss","(w=512 d=2) Imsize variation : 32x32 - test_loss__MIN","(w=512 d=2) Imsize variation : 32x32 - test_loss__MAX","(w=512 d=2) Imsize variation : 32x32 - train_accuracy","(w=512 d=2) Imsize variation : 32x32 - train_accuracy__MIN","(w=512 d=2) Imsize variation : 32x32 - train_accuracy__MAX","(w=512 d=2) Imsize variation : 32x32 - train_loss","(w=512 d=2) Imsize variation : 32x32 - train_loss__MIN","(w=512 d=2) Imsize variation : 32x32 - train_loss__MAX","(w=512 d=2) Imsize variation : 16x16 - test_accuracy","(w=512 d=2) Imsize variation : 16x16 - test_accuracy__MIN","(w=512 d=2) Imsize variation : 16x16 - test_accuracy__MAX","(w=512 d=2) Imsize variation : 16x16 - test_loss","(w=512 d=2) Imsize variation : 16x16 - test_loss__MIN","(w=512 d=2) Imsize variation : 16x16 - test_loss__MAX","(w=512 d=2) Imsize variation : 16x16 - train_accuracy","(w=512 d=2) Imsize variation : 16x16 - train_accuracy__MIN","(w=512 d=2) Imsize variation : 16x16 - train_accuracy__MAX","(w=512 d=2) Imsize variation : 16x16 - train_loss","(w=512 d=2) Imsize variation : 16x16 - train_loss__MIN","(w=512 d=2) Imsize variation : 16x16 - train_loss__MAX"
"0","0.16818181818181818","0.16818181818181818","0.16818181818181818","2.2859416536851365","2.2859416536851365","2.2859416536851365","0.12643678160919541","0.12643678160919541","0.12643678160919541","2.4776450897085254","2.4776450897085254","2.4776450897085254","0.18818181818181817","0.18818181818181817","0.18818181818181817","2.26450629234314","2.26450629234314","2.26450629234314","0.12931034482758622","0.12931034482758622","0.12931034482758622","2.374027472528918","2.374027472528918","2.374027472528918","0.14727272727272728","0.14727272727272728","0.14727272727272728","2.2880580234527588","2.2880580234527588","2.2880580234527588","0.13045977011494253","0.13045977011494253","0.13045977011494253","2.3574771542384707","2.3574771542384707","2.3574771542384707","0.17","0.17","0.17","2.3216768273440276","2.3216768273440276","2.3216768273440276","0.12862068965517243","0.12862068965517243","0.12862068965517243","2.3747067633442493","2.3747067633442493","2.3747067633442493","0.16772727272727272","0.16772727272727272","0.16772727272727272","2.355466253974221","2.355466253974221","2.355466253974221","0.12114942528735632","0.12114942528735632","0.12114942528735632","2.3839757221046534","2.3839757221046534","2.3839757221046534"
"1","0.19227272727272726","0.19227272727272726","0.19227272727272726","2.227571439743042","2.227571439743042","2.227571439743042","0.16011494252873562","0.16011494252873562","0.16011494252873562","2.319002361736078","2.319002361736078","2.319002361736078","0.185","0.185","0.185","2.2169288505207407","2.2169288505207407","2.2169288505207407","0.17298850574712643","0.17298850574712643","0.17298850574712643","2.2916634218720184","2.2916634218720184","2.2916634218720184","0.18409090909090908","0.18409090909090908","0.18409090909090908","2.2188922708684746","2.2188922708684746","2.2188922708684746","0.1693103448275862","0.1693103448275862","0.1693103448275862","2.2916474506772797","2.2916474506772797","2.2916474506772797","0.17363636363636364","0.17363636363636364","0.17363636363636364","2.253600588711825","2.253600588711825","2.253600588711825","0.16218390804597702","0.16218390804597702","0.16218390804597702","2.318363941346092","2.318363941346092","2.318363941346092","0.16636363636363635","0.16636363636363635","0.16636363636363635","2.2976139545440675","2.2976139545440675","2.2976139545440675","0.1647126436781609","0.1647126436781609","0.1647126436781609","2.34614367890632","2.34614367890632","2.34614367890632"
"2","0.1859090909090909","0.1859090909090909","0.1859090909090909","2.2380327770926733","2.2380327770926733","2.2380327770926733","0.17586206896551723","0.17586206896551723","0.17586206896551723","2.292188827909272","2.292188827909272","2.292188827909272","0.20045454545454544","0.20045454545454544","0.20045454545454544","2.167430189306086","2.167430189306086","2.167430189306086","0.17758620689655172","0.17758620689655172","0.17758620689655172","2.267339954266603","2.267339954266603","2.267339954266603","0.22090909090909092","0.22090909090909092","0.22090909090909092","2.1843334830891004","2.1843334830891004","2.1843334830891004","0.18195402298850574","0.18195402298850574","0.18195402298850574","2.2609885686019373","2.2609885686019373","2.2609885686019373","0.19772727272727272","0.19772727272727272","0.19772727272727272","2.2098548429662532","2.2098548429662532","2.2098548429662532","0.17264367816091955","0.17264367816091955","0.17264367816091955","2.2866661380899362","2.2866661380899362","2.2866661380899362","0.1690909090909091","0.1690909090909091","0.1690909090909091","2.2621111323616723","2.2621111323616723","2.2621111323616723","0.16816091954022988","0.16816091954022988","0.16816091954022988","2.3071615417524316","2.3071615417524316","2.3071615417524316"
"3","0.23045454545454547","0.23045454545454547","0.23045454545454547","2.1715409885753285","2.1715409885753285","2.1715409885753285","0.1760919540229885","0.1760919540229885","0.1760919540229885","2.284476652803092","2.284476652803092","2.284476652803092","0.2268181818181818","0.2268181818181818","0.2268181818181818","2.163357066241178","2.163357066241178","2.163357066241178","0.18080459770114943","0.18080459770114943","0.18080459770114943","2.252186272171722","2.252186272171722","2.252186272171722","0.20909090909090908","0.20909090909090908","0.20909090909090908","2.18697022264654","2.18697022264654","2.18697022264654","0.18344827586206897","0.18344827586206897","0.18344827586206897","2.256864093583206","2.256864093583206","2.256864093583206","0.19727272727272727","0.19727272727272727","0.19727272727272727","2.1998613608967172","2.1998613608967172","2.1998613608967172","0.18977011494252874","0.18977011494252874","0.18977011494252874","2.259176699430093","2.259176699430093","2.259176699430093","0.19954545454545455","0.19954545454545455","0.19954545454545455","2.214429108879783","2.214429108879783","2.214429108879783","0.1811494252873563","0.1811494252873563","0.1811494252873563","2.2775823787163043","2.2775823787163043","2.2775823787163043"
"4","0.22227272727272726","0.22227272727272726","0.22227272727272726","2.1849035401777788","2.1849035401777788","2.1849035401777788","0.1849425287356322","0.1849425287356322","0.1849425287356322","2.263096889517773","2.263096889517773","2.263096889517773","0.2177272727272727","0.2177272727272727","0.2177272727272727","2.151262128136375","2.151262128136375","2.151262128136375","0.19045977011494253","0.19045977011494253","0.19045977011494253","2.2407300781381543","2.2407300781381543","2.2407300781381543","0.21681818181818183","0.21681818181818183","0.21681818181818183","2.155364673787897","2.155364673787897","2.155364673787897","0.19241379310344828","0.19241379310344828","0.19241379310344828","2.2358527968395716","2.2358527968395716","2.2358527968395716","0.215","0.215","0.215","2.1777653442729603","2.1777653442729603","2.1777653442729603","0.18367816091954023","0.18367816091954023","0.18367816091954023","2.2438346526266515","2.2438346526266515","2.2438346526266515","0.2","0.2","0.2","2.195686246698553","2.195686246698553","2.195686246698553","0.18862068965517242","0.18862068965517242","0.18862068965517242","2.2567313252372303","2.2567313252372303","2.2567313252372303"
"5","0.22","0.22","0.22","2.180694241957231","2.180694241957231","2.180694241957231","0.19114942528735632","0.19114942528735632","0.19114942528735632","2.2452951220808357","2.2452951220808357","2.2452951220808357","0.22727272727272727","0.22727272727272727","0.22727272727272727","2.1360730145194315","2.1360730145194315","2.1360730145194315","0.19137931034482758","0.19137931034482758","0.19137931034482758","2.235792521991949","2.235792521991949","2.235792521991949","0.23","0.23","0.23","2.1470052224939518","2.1470052224939518","2.1470052224939518","0.19333333333333333","0.19333333333333333","0.19333333333333333","2.229914979605839","2.229914979605839","2.229914979605839","0.21681818181818183","0.21681818181818183","0.21681818181818183","2.1722771003029564","2.1722771003029564","2.1722771003029564","0.19425287356321838","0.19425287356321838","0.19425287356321838","2.2363844221487814","2.2363844221487814","2.2363844221487814","0.22090909090909092","0.22090909090909092","0.22090909090909092","2.1752399626645174","2.1752399626645174","2.1752399626645174","0.19241379310344828","0.19241379310344828","0.19241379310344828","2.243295488796015","2.243295488796015","2.243295488796015"
"6","0.21727272727272728","0.21727272727272728","0.21727272727272728","2.1975087985125454","2.1975087985125454","2.1975087985125454","0.17862068965517242","0.17862068965517242","0.17862068965517242","2.2686589055773854","2.2686589055773854","2.2686589055773854","0.2340909090909091","0.2340909090909091","0.2340909090909091","2.1354489109732886","2.1354489109732886","2.1354489109732886","0.19919540229885058","0.19919540229885058","0.19919540229885058","2.2243597204931853","2.2243597204931853","2.2243597204931853","0.22272727272727272","0.22272727272727272","0.22272727272727272","2.137656485817649","2.137656485817649","2.137656485817649","0.19988505747126437","0.19988505747126437","0.19988505747126437","2.2199276680781925","2.2199276680781925","2.2199276680781925","0.21727272727272728","0.21727272727272728","0.21727272727272728","2.1431487196142025","2.1431487196142025","2.1431487196142025","0.19425287356321838","0.19425287356321838","0.19425287356321838","2.2250351579161896","2.2250351579161896","2.2250351579161896","0.21227272727272728","0.21227272727272728","0.21227272727272728","2.1653677203438497","2.1653677203438497","2.1653677203438497","0.20114942528735633","0.20114942528735633","0.20114942528735633","2.2325831188552683","2.2325831188552683","2.2325831188552683"
"7","0.1918181818181818","0.1918181818181818","0.1918181818181818","2.1906290782581674","2.1906290782581674","2.1906290782581674","0.18540229885057471","0.18540229885057471","0.18540229885057471","2.2460582363742523","2.2460582363742523","2.2460582363742523","0.2381818181818182","0.2381818181818182","0.2381818181818182","2.127015803943981","2.127015803943981","2.127015803943981","0.20080459770114942","0.20080459770114942","0.20080459770114942","2.2149306882660964","2.2149306882660964","2.2149306882660964","0.23","0.23","0.23","2.12944673798301","2.12944673798301","2.12944673798301","0.19804597701149426","0.19804597701149426","0.19804597701149426","2.2114492792370677","2.2114492792370677","2.2114492792370677","0.22954545454545455","0.22954545454545455","0.22954545454545455","2.1343449089743873","2.1343449089743873","2.1343449089743873","0.19954022988505746","0.19954022988505746","0.19954022988505746","2.2241913823971804","2.2241913823971804","2.2241913823971804","0.21681818181818183","0.21681818181818183","0.21681818181818183","2.1585850975730203","2.1585850975730203","2.1585850975730203","0.2","0.2","0.2","2.2285266487077733","2.2285266487077733","2.2285266487077733"
"8","0.23363636363636364","0.23363636363636364","0.23363636363636364","2.144142609509555","2.144142609509555","2.144142609509555","0.1932183908045977","0.1932183908045977","0.1932183908045977","2.2392147983901802","2.2392147983901802","2.2392147983901802","0.23318181818181818","0.23318181818181818","0.23318181818181818","2.120367933620106","2.120367933620106","2.120367933620106","0.2028735632183908","0.2028735632183908","0.2028735632183908","2.2149128563102636","2.2149128563102636","2.2149128563102636","0.23318181818181818","0.23318181818181818","0.23318181818181818","2.121772330024026","2.121772330024026","2.121772330024026","0.20632183908045976","0.20632183908045976","0.20632183908045976","2.206783796507737","2.206783796507737","2.206783796507737","0.2381818181818182","0.2381818181818182","0.2381818181818182","2.123561173352328","2.123561173352328","2.123561173352328","0.2052873563218391","0.2052873563218391","0.2052873563218391","2.215037770874199","2.215037770874199","2.215037770874199","0.22818181818181818","0.22818181818181818","0.22818181818181818","2.1448383027857","2.1448383027857","2.1448383027857","0.20988505747126437","0.20988505747126437","0.20988505747126437","2.209900630205527","2.209900630205527","2.209900630205527"
"9","0.23136363636363635","0.23136363636363635","0.23136363636363635","2.132220126065341","2.132220126065341","2.132220126065341","0.1993103448275862","0.1993103448275862","0.1993103448275862","2.2229271231026484","2.2229271231026484","2.2229271231026484","0.23636363636363636","0.23636363636363636","0.23636363636363636","2.132664350162853","2.132664350162853","2.132664350162853","0.20183908045977011","0.20183908045977011","0.20183908045977011","2.211027886730501","2.211027886730501","2.211027886730501","0.23772727272727273","0.23772727272727273","0.23772727272727273","2.1138252223621716","2.1138252223621716","2.1138252223621716","0.20781609195402298","0.20781609195402298","0.20781609195402298","2.2047528254848787","2.2047528254848787","2.2047528254848787","0.22590909090909092","0.22590909090909092","0.22590909090909092","2.1341814465956253","2.1341814465956253","2.1341814465956253","0.2071264367816092","0.2071264367816092","0.2071264367816092","2.208299052797515","2.208299052797515","2.208299052797515","0.22727272727272727","0.22727272727272727","0.22727272727272727","2.137454560019753","2.137454560019753","2.137454560019753","0.20758620689655172","0.20758620689655172","0.20758620689655172","2.2139344622074875","2.2139344622074875","2.2139344622074875"
