"Step","LeNet - test_accuracy","LeNet - test_accuracy__MIN","LeNet - test_accuracy__MAX","LeNet - train_accuracy","LeNet - train_accuracy__MIN","LeNet - train_accuracy__MAX"
"0","0.18681818181818183","0.18681818181818183","0.18681818181818183","0.11758620689655172","0.11758620689655172","0.11758620689655172"
"1","0.18772727272727271","0.18772727272727271","0.18772727272727271","0.16379310344827586","0.16379310344827586","0.16379310344827586"
"2","0.21409090909090908","0.21409090909090908","0.21409090909090908","0.18827586206896552","0.18827586206896552","0.18827586206896552"
"3","0.22545454545454546","0.22545454545454546","0.22545454545454546","0.19413793103448276","0.19413793103448276","0.19413793103448276"
"4","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.1996551724137931","0.1996551724137931","0.1996551724137931"
"5","0.23454545454545456","0.23454545454545456","0.23454545454545456","0.19873563218390805","0.19873563218390805","0.19873563218390805"
"6","0.23954545454545453","0.23954545454545453","0.23954545454545453","0.20367816091954022","0.20367816091954022","0.20367816091954022"
"7","0.245","0.245","0.245","0.21701149425287355","0.21701149425287355","0.21701149425287355"
"8","0.24454545454545454","0.24454545454545454","0.24454545454545454","0.20919540229885059","0.20919540229885059","0.20919540229885059"
"9","0.25045454545454543","0.25045454545454543","0.25045454545454543","0.21942528735632183","0.21942528735632183","0.21942528735632183"
"10","0.24363636363636362","0.24363636363636362","0.24363636363636362","0.21850574712643678","0.21850574712643678","0.21850574712643678"
"11","0.25772727272727275","0.25772727272727275","0.25772727272727275","0.22022988505747126","0.22022988505747126","0.22022988505747126"
"12","0.2509090909090909","0.2509090909090909","0.2509090909090909","0.22149425287356322","0.22149425287356322","0.22149425287356322"
"13","0.25272727272727274","0.25272727272727274","0.25272727272727274","0.22298850574712645","0.22298850574712645","0.22298850574712645"
"14","0.25363636363636366","0.25363636363636366","0.25363636363636366","0.22402298850574712","0.22402298850574712","0.22402298850574712"
"15","0.25227272727272726","0.25227272727272726","0.25227272727272726","0.2257471264367816","0.2257471264367816","0.2257471264367816"
"16","0.2559090909090909","0.2559090909090909","0.2559090909090909","0.22804597701149426","0.22804597701149426","0.22804597701149426"
"17","0.2545454545454545","0.2545454545454545","0.2545454545454545","0.23160919540229885","0.23160919540229885","0.23160919540229885"
