"Step","PatchModel: patch=8 non-overlap merge=mean w=512 d=2 - test_accuracy","PatchModel: patch=8 non-overlap merge=mean w=512 d=2 - test_accuracy__MIN","PatchModel: patch=8 non-overlap merge=mean w=512 d=2 - test_accuracy__MAX","PatchModel: patch=8 non-overlap merge=mean w=512 d=2 - train_accuracy","PatchModel: patch=8 non-overlap merge=mean w=512 d=2 - train_accuracy__MIN","PatchModel: patch=8 non-overlap merge=mean w=512 d=2 - train_accuracy__MAX","PatchModel: patch=4 non-overlap merge=mean w=512 d=2 - test_accuracy","PatchModel: patch=4 non-overlap merge=mean w=512 d=2 - test_accuracy__MIN","PatchModel: patch=4 non-overlap merge=mean w=512 d=2 - test_accuracy__MAX","PatchModel: patch=4 non-overlap merge=mean w=512 d=2 - train_accuracy","PatchModel: patch=4 non-overlap merge=mean w=512 d=2 - train_accuracy__MIN","PatchModel: patch=4 non-overlap merge=mean w=512 d=2 - train_accuracy__MAX","PatchModel: patch=16 non-overlap merge=mean w=512 d=2 - test_accuracy","PatchModel: patch=16 non-overlap merge=mean w=512 d=2 - test_accuracy__MIN","PatchModel: patch=16 non-overlap merge=mean w=512 d=2 - test_accuracy__MAX","PatchModel: patch=16 non-overlap merge=mean w=512 d=2 - train_accuracy","PatchModel: patch=16 non-overlap merge=mean w=512 d=2 - train_accuracy__MIN","PatchModel: patch=16 non-overlap merge=mean w=512 d=2 - train_accuracy__MAX","PatchModel: patch=32 non-overlap merge=mean w=512 d=2 - test_accuracy","PatchModel: patch=32 non-overlap merge=mean w=512 d=2 - test_accuracy__MIN","PatchModel: patch=32 non-overlap merge=mean w=512 d=2 - test_accuracy__MAX","PatchModel: patch=32 non-overlap merge=mean w=512 d=2 - train_accuracy","PatchModel: patch=32 non-overlap merge=mean w=512 d=2 - train_accuracy__MIN","PatchModel: patch=32 non-overlap merge=mean w=512 d=2 - train_accuracy__MAX"
"0","0.14545454545454545","0.14545454545454545","0.14545454545454545","0.09689655172413793","0.09689655172413793","0.09689655172413793","0.12272727272727273","0.12272727272727273","0.12272727272727273","0.10517241379310345","0.10517241379310345","0.10517241379310345","0.17","0.17","0.17","0.11873563218390805","0.11873563218390805","0.11873563218390805","0.15","0.15","0.15","0.10793103448275862","0.10793103448275862","0.10793103448275862"
"1","0.15454545454545454","0.15454545454545454","0.15454545454545454","0.14011494252873563","0.14011494252873563","0.14011494252873563","0.17272727272727273","0.17272727272727273","0.17272727272727273","0.1393103448275862","0.1393103448275862","0.1393103448275862","0.15272727272727274","0.15272727272727274","0.15272727272727274","0.1559770114942529","0.1559770114942529","0.1559770114942529","0.16318181818181818","0.16318181818181818","0.16318181818181818","0.14126436781609195","0.14126436781609195","0.14126436781609195"
"2","0.17909090909090908","0.17909090909090908","0.17909090909090908","0.15195402298850574","0.15195402298850574","0.15195402298850574","0.1618181818181818","0.1618181818181818","0.1618181818181818","0.1481609195402299","0.1481609195402299","0.1481609195402299","0.15409090909090908","0.15409090909090908","0.15409090909090908","0.15563218390804598","0.15563218390804598","0.15563218390804598","0.17272727272727273","0.17272727272727273","0.17272727272727273","0.14666666666666667","0.14666666666666667","0.14666666666666667"
"3","0.1831818181818182","0.1831818181818182","0.1831818181818182","0.16241379310344828","0.16241379310344828","0.16241379310344828","0.19954545454545455","0.19954545454545455","0.19954545454545455","0.1528735632183908","0.1528735632183908","0.1528735632183908","0.17909090909090908","0.17909090909090908","0.17909090909090908","0.15436781609195402","0.15436781609195402","0.15436781609195402","0.17772727272727273","0.17772727272727273","0.17772727272727273","0.15862068965517243","0.15862068965517243","0.15862068965517243"
"4","0.17636363636363636","0.17636363636363636","0.17636363636363636","0.1745977011494253","0.1745977011494253","0.1745977011494253","0.19636363636363635","0.19636363636363635","0.19636363636363635","0.15908045977011495","0.15908045977011495","0.15908045977011495","0.19090909090909092","0.19090909090909092","0.19090909090909092","0.16793103448275862","0.16793103448275862","0.16793103448275862","0.19090909090909092","0.19090909090909092","0.19090909090909092","0.16160919540229884","0.16160919540229884","0.16160919540229884"
"5","0.18772727272727271","0.18772727272727271","0.18772727272727271","0.1693103448275862","0.1693103448275862","0.1693103448275862","0.19","0.19","0.19","0.15724137931034482","0.15724137931034482","0.15724137931034482","0.205","0.205","0.205","0.17195402298850573","0.17195402298850573","0.17195402298850573","0.18863636363636363","0.18863636363636363","0.18863636363636363","0.1660919540229885","0.1660919540229885","0.1660919540229885"
"6","0.17954545454545454","0.17954545454545454","0.17954545454545454","0.18275862068965518","0.18275862068965518","0.18275862068965518","0.18818181818181817","0.18818181818181817","0.18818181818181817","0.16758620689655174","0.16758620689655174","0.16758620689655174","0.21045454545454545","0.21045454545454545","0.21045454545454545","0.17862068965517242","0.17862068965517242","0.17862068965517242","0.2059090909090909","0.2059090909090909","0.2059090909090909","0.1732183908045977","0.1732183908045977","0.1732183908045977"
"7","0.19318181818181818","0.19318181818181818","0.19318181818181818","0.16988505747126437","0.16988505747126437","0.16988505747126437","0.20727272727272728","0.20727272727272728","0.20727272727272728","0.16735632183908045","0.16735632183908045","0.16735632183908045","0.20454545454545456","0.20454545454545456","0.20454545454545456","0.18149425287356322","0.18149425287356322","0.18149425287356322","0.21818181818181817","0.21818181818181817","0.21818181818181817","0.1781609195402299","0.1781609195402299","0.1781609195402299"
"8","0.2109090909090909","0.2109090909090909","0.2109090909090909","0.1706896551724138","0.1706896551724138","0.1706896551724138","0.20863636363636365","0.20863636363636365","0.20863636363636365","0.16793103448275862","0.16793103448275862","0.16793103448275862","0.21681818181818183","0.21681818181818183","0.21681818181818183","0.18310344827586206","0.18310344827586206","0.18310344827586206","0.22954545454545455","0.22954545454545455","0.22954545454545455","0.1917241379310345","0.1917241379310345","0.1917241379310345"
"9","0.2290909090909091","0.2290909090909091","0.2290909090909091","0.18241379310344827","0.18241379310344827","0.18241379310344827","0.2159090909090909","0.2159090909090909","0.2159090909090909","0.17758620689655172","0.17758620689655172","0.17758620689655172","0.22181818181818183","0.22181818181818183","0.22181818181818183","0.18689655172413794","0.18689655172413794","0.18689655172413794","0.22272727272727272","0.22272727272727272","0.22272727272727272","0.18655172413793103","0.18655172413793103","0.18655172413793103"
