"Step","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=64 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=256 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=1024 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=32 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=128 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=512 d=2 - train_accuracy__MAX"
"0","0.15681818181818183","0.15681818181818183","0.15681818181818183","0.11793103448275861","0.11793103448275861","0.11793103448275861","0.13","0.13","0.13","0.10333333333333333","0.10333333333333333","0.10333333333333333","0.12272727272727273","0.12272727272727273","0.12272727272727273","0.10735632183908046","0.10735632183908046","0.10735632183908046","0.14772727272727273","0.14772727272727273","0.14772727272727273","0.12011494252873563","0.12011494252873563","0.12011494252873563","0.13045454545454546","0.13045454545454546","0.13045454545454546","0.09402298850574713","0.09402298850574713","0.09402298850574713","0.13045454545454546","0.13045454545454546","0.13045454545454546","0.11022988505747126","0.11022988505747126","0.11022988505747126","0.15227272727272728","0.15227272727272728","0.15227272727272728","0.10862068965517241","0.10862068965517241","0.10862068965517241"
"1","0.1690909090909091","0.1690909090909091","0.1690909090909091","0.1539080459770115","0.1539080459770115","0.1539080459770115","0.15954545454545455","0.15954545454545455","0.15954545454545455","0.12563218390804598","0.12563218390804598","0.12563218390804598","0.16","0.16","0.16","0.13229885057471263","0.13229885057471263","0.13229885057471263","0.16545454545454547","0.16545454545454547","0.16545454545454547","0.15459770114942528","0.15459770114942528","0.15459770114942528","0.15045454545454545","0.15045454545454545","0.15045454545454545","0.12402298850574713","0.12402298850574713","0.12402298850574713","0.14954545454545454","0.14954545454545454","0.14954545454545454","0.12344827586206897","0.12344827586206897","0.12344827586206897","0.16454545454545455","0.16454545454545455","0.16454545454545455","0.1432183908045977","0.1432183908045977","0.1432183908045977"
"2","0.19772727272727272","0.19772727272727272","0.19772727272727272","0.1606896551724138","0.1606896551724138","0.1606896551724138","0.16318181818181818","0.16318181818181818","0.16318181818181818","0.1374712643678161","0.1374712643678161","0.1374712643678161","0.17181818181818181","0.17181818181818181","0.17181818181818181","0.14804597701149425","0.14804597701149425","0.14804597701149425","0.18045454545454545","0.18045454545454545","0.18045454545454545","0.14689655172413793","0.14689655172413793","0.14689655172413793","0.1440909090909091","0.1440909090909091","0.1440909090909091","0.13126436781609196","0.13126436781609196","0.13126436781609196","0.17181818181818181","0.17181818181818181","0.17181818181818181","0.14689655172413793","0.14689655172413793","0.14689655172413793","0.16818181818181818","0.16818181818181818","0.16818181818181818","0.14885057471264368","0.14885057471264368","0.14885057471264368"
"3","0.19272727272727272","0.19272727272727272","0.19272727272727272","0.16551724137931034","0.16551724137931034","0.16551724137931034","0.15545454545454546","0.15545454545454546","0.15545454545454546","0.15241379310344827","0.15241379310344827","0.15241379310344827","0.19545454545454546","0.19545454545454546","0.19545454545454546","0.15264367816091953","0.15264367816091953","0.15264367816091953","0.2040909090909091","0.2040909090909091","0.2040909090909091","0.16482758620689655","0.16482758620689655","0.16482758620689655","0.15227272727272728","0.15227272727272728","0.15227272727272728","0.1364367816091954","0.1364367816091954","0.1364367816091954","0.16545454545454547","0.16545454545454547","0.16545454545454547","0.14954022988505747","0.14954022988505747","0.14954022988505747","0.17181818181818181","0.17181818181818181","0.17181818181818181","0.1579310344827586","0.1579310344827586","0.1579310344827586"
"4","0.22227272727272726","0.22227272727272726","0.22227272727272726","0.16482758620689655","0.16482758620689655","0.16482758620689655","0.19","0.19","0.19","0.14988505747126438","0.14988505747126438","0.14988505747126438","0.17772727272727273","0.17772727272727273","0.17772727272727273","0.1589655172413793","0.1589655172413793","0.1589655172413793","0.19","0.19","0.19","0.17494252873563218","0.17494252873563218","0.17494252873563218","0.15863636363636363","0.15863636363636363","0.15863636363636363","0.14402298850574713","0.14402298850574713","0.14402298850574713","0.17636363636363636","0.17636363636363636","0.17636363636363636","0.15632183908045977","0.15632183908045977","0.15632183908045977","0.1890909090909091","0.1890909090909091","0.1890909090909091","0.16126436781609196","0.16126436781609196","0.16126436781609196"
"5","0.2081818181818182","0.2081818181818182","0.2081818181818182","0.18379310344827587","0.18379310344827587","0.18379310344827587","0.16590909090909092","0.16590909090909092","0.16590909090909092","0.15919540229885057","0.15919540229885057","0.15919540229885057","0.18863636363636363","0.18863636363636363","0.18863636363636363","0.16298850574712645","0.16298850574712645","0.16298850574712645","0.21863636363636363","0.21863636363636363","0.21863636363636363","0.17666666666666667","0.17666666666666667","0.17666666666666667","0.16272727272727272","0.16272727272727272","0.16272727272727272","0.1403448275862069","0.1403448275862069","0.1403448275862069","0.1809090909090909","0.1809090909090909","0.1809090909090909","0.15919540229885057","0.15919540229885057","0.15919540229885057","0.195","0.195","0.195","0.16793103448275862","0.16793103448275862","0.16793103448275862"
"6","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.19045977011494253","0.19045977011494253","0.19045977011494253","0.19772727272727272","0.19772727272727272","0.19772727272727272","0.16034482758620688","0.16034482758620688","0.16034482758620688","0.20045454545454544","0.20045454545454544","0.20045454545454544","0.16896551724137931","0.16896551724137931","0.16896551724137931","0.22590909090909092","0.22590909090909092","0.22590909090909092","0.18172413793103448","0.18172413793103448","0.18172413793103448","0.15409090909090908","0.15409090909090908","0.15409090909090908","0.152183908045977","0.152183908045977","0.152183908045977","0.19363636363636363","0.19363636363636363","0.19363636363636363","0.16827586206896553","0.16827586206896553","0.16827586206896553","0.21181818181818182","0.21181818181818182","0.21181818181818182","0.17632183908045976","0.17632183908045976","0.17632183908045976"
"7","0.21954545454545454","0.21954545454545454","0.21954545454545454","0.1967816091954023","0.1967816091954023","0.1967816091954023","0.1859090909090909","0.1859090909090909","0.1859090909090909","0.1589655172413793","0.1589655172413793","0.1589655172413793","0.22454545454545455","0.22454545454545455","0.22454545454545455","0.17057471264367816","0.17057471264367816","0.17057471264367816","0.23318181818181818","0.23318181818181818","0.23318181818181818","0.18827586206896552","0.18827586206896552","0.18827586206896552","0.17045454545454544","0.17045454545454544","0.17045454545454544","0.15080459770114943","0.15080459770114943","0.15080459770114943","0.19227272727272726","0.19227272727272726","0.19227272727272726","0.16425287356321838","0.16425287356321838","0.16425287356321838","0.21","0.21","0.21","0.17724137931034484","0.17724137931034484","0.17724137931034484"
"8","0.23227272727272727","0.23227272727272727","0.23227272727272727","0.19942528735632184","0.19942528735632184","0.19942528735632184","0.21136363636363636","0.21136363636363636","0.21136363636363636","0.16298850574712645","0.16298850574712645","0.16298850574712645","0.215","0.215","0.215","0.17655172413793102","0.17655172413793102","0.17655172413793102","0.24363636363636362","0.24363636363636362","0.24363636363636362","0.19114942528735632","0.19114942528735632","0.19114942528735632","0.17454545454545456","0.17454545454545456","0.17454545454545456","0.16586206896551725","0.16586206896551725","0.16586206896551725","0.19363636363636363","0.19363636363636363","0.19363636363636363","0.16977011494252875","0.16977011494252875","0.16977011494252875","0.22636363636363635","0.22636363636363635","0.22636363636363635","0.19080459770114944","0.19080459770114944","0.19080459770114944"
"9","0.22227272727272726","0.22227272727272726","0.22227272727272726","0.20333333333333334","0.20333333333333334","0.20333333333333334","0.19272727272727272","0.19272727272727272","0.19272727272727272","0.16908045977011493","0.16908045977011493","0.16908045977011493","0.23454545454545456","0.23454545454545456","0.23454545454545456","0.1835632183908046","0.1835632183908046","0.1835632183908046","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.19114942528735632","0.19114942528735632","0.19114942528735632","0.18636363636363637","0.18636363636363637","0.18636363636363637","0.1579310344827586","0.1579310344827586","0.1579310344827586","0.18454545454545454","0.18454545454545454","0.18454545454545454","0.17057471264367816","0.17057471264367816","0.17057471264367816","0.22045454545454546","0.22045454545454546","0.22045454545454546","0.18528735632183907","0.18528735632183907","0.18528735632183907"
