"Step","Width only variation : 2048 - test_loss","Width only variation : 2048 - test_loss__MIN","Width only variation : 2048 - test_loss__MAX","Width only variation : 2048 - train_loss","Width only variation : 2048 - train_loss__MIN","Width only variation : 2048 - train_loss__MAX","Width only variation : 1024 - test_loss","Width only variation : 1024 - test_loss__MIN","Width only variation : 1024 - test_loss__MAX","Width only variation : 1024 - train_loss","Width only variation : 1024 - train_loss__MIN","Width only variation : 1024 - train_loss__MAX","Width only variation : 512 - test_loss","Width only variation : 512 - test_loss__MIN","Width only variation : 512 - test_loss__MAX","Width only variation : 512 - train_loss","Width only variation : 512 - train_loss__MIN","Width only variation : 512 - train_loss__MAX","Width only variation : 256 - test_loss","Width only variation : 256 - test_loss__MIN","Width only variation : 256 - test_loss__MAX","Width only variation : 256 - train_loss","Width only variation : 256 - train_loss__MIN","Width only variation : 256 - train_loss__MAX","Width only variation : 128 - test_loss","Width only variation : 128 - test_loss__MIN","Width only variation : 128 - test_loss__MAX","Width only variation : 128 - train_loss","Width only variation : 128 - train_loss__MIN","Width only variation : 128 - train_loss__MAX","Width only variation : 64 - test_loss","Width only variation : 64 - test_loss__MIN","Width only variation : 64 - test_loss__MAX","Width only variation : 64 - train_loss","Width only variation : 64 - train_loss__MIN","Width only variation : 64 - train_loss__MAX","Width only variation : 32 - test_loss","Width only variation : 32 - test_loss__MIN","Width only variation : 32 - test_loss__MAX","Width only variation : 32 - train_loss","Width only variation : 32 - train_loss__MIN","Width only variation : 32 - train_loss__MAX"
"0","2.2792100516232576","2.2792100516232576","2.2792100516232576","3.111398079532316","3.111398079532316","3.111398079532316","2.248237645409324","2.248237645409324","2.248237645409324","2.54666699014861","2.54666699014861","2.54666699014861","2.22718016537753","2.22718016537753","2.22718016537753","2.4367372009671966","2.4367372009671966","2.4367372009671966","2.217048222801902","2.217048222801902","2.217048222801902","2.366669077051097","2.366669077051097","2.366669077051097","2.303723241632635","2.303723241632635","2.303723241632635","2.4377292610036916","2.4377292610036916","2.4377292610036916","2.384404232718728","2.384404232718728","2.384404232718728","2.418311203704483","2.418311203704483","2.418311203704483","2.3877526812119916","2.3877526812119916","2.3877526812119916","2.423845772798034","2.423845772798034","2.423845772798034"
"1","2.226337679949674","2.226337679949674","2.226337679949674","2.221638449964852","2.221638449964852","2.221638449964852","2.2085576672987504","2.2085576672987504","2.2085576672987504","2.2145493567675008","2.2145493567675008","2.2145493567675008","2.2091772786053743","2.2091772786053743","2.2091772786053743","2.174691937216397","2.174691937216397","2.174691937216397","2.148211696798151","2.148211696798151","2.148211696798151","2.174624856203452","2.174624856203452","2.174624856203452","2.2300962127338755","2.2300962127338755","2.2300962127338755","2.255662750266064","2.255662750266064","2.255662750266064","2.3529650193994693","2.3529650193994693","2.3529650193994693","2.3587434848697706","2.3587434848697706","2.3587434848697706","2.3657557582855224","2.3657557582855224","2.3657557582855224","2.378548577297693","2.378548577297693","2.378548577297693"
"2","2.128524865237149","2.128524865237149","2.128524865237149","2.1690893372722058","2.1690893372722058","2.1690893372722058","2.155754130970348","2.155754130970348","2.155754130970348","2.1283088420999463","2.1283088420999463","2.1283088420999463","2.1827059789137406","2.1827059789137406","2.1827059789137406","2.135048722891972","2.135048722891972","2.135048722891972","2.1828607988357542","2.1828607988357542","2.1828607988357542","2.126210134440455","2.126210134440455","2.126210134440455","2.169985284805298","2.169985284805298","2.169985284805298","2.1926657536386074","2.1926657536386074","2.1926657536386074","2.3309282259507613","2.3309282259507613","2.3309282259507613","2.3355780425016905","2.3355780425016905","2.3355780425016905","2.341198790290139","2.341198790290139","2.341198790290139","2.3572176355603096","2.3572176355603096","2.3572176355603096"
"3","2.097574403069236","2.097574403069236","2.097574403069236","2.096906619674858","2.096906619674858","2.096906619674858","2.1116752953962847","2.1116752953962847","2.1116752953962847","2.09224566448694","2.09224566448694","2.09224566448694","2.094492127678611","2.094492127678611","2.094492127678611","2.085705063589688","2.085705063589688","2.085705063589688","2.141220854845914","2.141220854845914","2.141220854845914","2.112179885129819","2.112179885129819","2.112179885129819","2.147523984042081","2.147523984042081","2.147523984042081","2.1400670244501927","2.1400670244501927","2.1400670244501927","2.324194315997037","2.324194315997037","2.324194315997037","2.3142606375683314","2.3142606375683314","2.3142606375683314","2.32841572934931","2.32841572934931","2.32841572934931","2.332630158457263","2.332630158457263","2.332630158457263"
"4","2.0821541937914763","2.0821541937914763","2.0821541937914763","2.0616904676371606","2.0616904676371606","2.0616904676371606","2.1404637440768157","2.1404637440768157","2.1404637440768157","2.0810208801839543","2.0810208801839543","2.0810208801839543","2.106761289076372","2.106761289076372","2.106761289076372","2.0616839920789345","2.0616839920789345","2.0616839920789345","2.0955143373662777","2.0955143373662777","2.0955143373662777","2.0572199852165136","2.0572199852165136","2.0572199852165136","2.1149264760450883","2.1149264760450883","2.1149264760450883","2.110885143060794","2.110885143060794","2.110885143060794","2.2782368165796454","2.2782368165796454","2.2782368165796454","2.2854322565012963","2.2854322565012963","2.2854322565012963","2.3050423977591774","2.3050423977591774","2.3050423977591774","2.313646979934868","2.313646979934868","2.313646979934868"
"5","2.080985441207886","2.080985441207886","2.080985441207886","2.0401515836825315","2.0401515836825315","2.0401515836825315","2.0885308014262804","2.0885308014262804","2.0885308014262804","2.047610483005129","2.047610483005129","2.047610483005129","2.0929047957333653","2.0929047957333653","2.0929047957333653","2.023990086358169","2.023990086358169","2.023990086358169","2.0874724240736526","2.0874724240736526","2.0874724240736526","2.0309378384995735","2.0309378384995735","2.0309378384995735","2.1085585021972655","2.1085585021972655","2.1085585021972655","2.090023110597983","2.090023110597983","2.090023110597983","2.2416857728091153","2.2416857728091153","2.2416857728091153","2.240737699640208","2.240737699640208","2.240737699640208","2.29138484694741","2.29138484694741","2.29138484694741","2.295124319668474","2.295124319668474","2.295124319668474"
"6","2.0834880286997013","2.0834880286997013","2.0834880286997013","2.0147050069392414","2.0147050069392414","2.0147050069392414","2.146514575264671","2.146514575264671","2.146514575264671","2.0170580834355847","2.0170580834355847","2.0170580834355847","2.0603916038166394","2.0603916038166394","2.0603916038166394","1.9858311068874666","1.9858311068874666","1.9858311068874666","2.0855335998535156","2.0855335998535156","2.0855335998535156","2.008315414998723","2.008315414998723","2.008315414998723","2.0870631712133236","2.0870631712133236","2.0870631712133236","2.062796250814679","2.062796250814679","2.062796250814679","2.2042672443389892","2.2042672443389892","2.2042672443389892","2.1966439848932726","2.1966439848932726","2.1966439848932726","2.280714830051769","2.280714830051769","2.280714830051769","2.27692212269224","2.27692212269224","2.27692212269224"
"7","2.0497343184731225","2.0497343184731225","2.0497343184731225","1.9886533278980474","1.9886533278980474","1.9886533278980474","2.0883945924585516","2.0883945924585516","2.0883945924585516","2.0019115194232984","2.0019115194232984","2.0019115194232984","2.09120240428231","2.09120240428231","2.09120240428231","1.9619055970509847","1.9619055970509847","1.9619055970509847","2.110520940693942","2.110520940693942","2.110520940693942","1.9947067033285382","1.9947067033285382","1.9947067033285382","2.078834673274647","2.078834673274647","2.078834673274647","2.0471374873457284","2.0471374873457284","2.0471374873457284","2.1820140240409156","2.1820140240409156","2.1820140240409156","2.171025902649452","2.171025902649452","2.171025902649452","2.267342211116444","2.267342211116444","2.267342211116444","2.263468047284532","2.263468047284532","2.263468047284532"
"8","2.062576123150912","2.062576123150912","2.062576123150912","1.9793981864534576","1.9793981864534576","1.9793981864534576","2.0534829529848966","2.0534829529848966","2.0534829529848966","1.9619042809804281","1.9619042809804281","1.9619042809804281","2.136682710647583","2.136682710647583","2.136682710647583","1.9826187154068344","1.9826187154068344","1.9826187154068344","2.0771425559303975","2.0771425559303975","2.0771425559303975","1.9687218562487898","1.9687218562487898","1.9687218562487898","2.0588711001656272","2.0588711001656272","2.0588711001656272","2.02740961030982","2.02740961030982","2.02740961030982","2.176761860413985","2.176761860413985","2.176761860413985","2.1500417704965877","2.1500417704965877","2.1500417704965877","2.2584377028725364","2.2584377028725364","2.2584377028725364","2.2477795650219097","2.2477795650219097","2.2477795650219097"
"9","2.0732812387293036","2.0732812387293036","2.0732812387293036","1.969138308503162","1.969138308503162","1.969138308503162","2.079469991163774","2.079469991163774","2.079469991163774","1.92539977967054","1.92539977967054","1.92539977967054","2.126366858915849","2.126366858915849","2.126366858915849","1.94299587436106","1.94299587436106","1.94299587436106","2.05465501091697","2.05465501091697","2.05465501091697","1.9696416892676518","1.9696416892676518","1.9696416892676518","2.0649657769636676","2.0649657769636676","2.0649657769636676","2.023066388711162","2.023066388711162","2.023066388711162","2.1633813311836936","2.1633813311836936","2.1633813311836936","2.1383928859096835","2.1383928859096835","2.1383928859096835","2.2593465596979314","2.2593465596979314","2.2593465596979314","2.236407847130436","2.236407847130436","2.236407847130436"
