"Step","Depth only variation : 6 - test_loss","Depth only variation : 6 - test_loss__MIN","Depth only variation : 6 - test_loss__MAX","Depth only variation : 6 - train_loss","Depth only variation : 6 - train_loss__MIN","Depth only variation : 6 - train_loss__MAX","Depth only variation : 5 - test_loss","Depth only variation : 5 - test_loss__MIN","Depth only variation : 5 - test_loss__MAX","Depth only variation : 5 - train_loss","Depth only variation : 5 - train_loss__MIN","Depth only variation : 5 - train_loss__MAX","Depth only variation : 4 - test_loss","Depth only variation : 4 - test_loss__MIN","Depth only variation : 4 - test_loss__MAX","Depth only variation : 4 - train_loss","Depth only variation : 4 - train_loss__MIN","Depth only variation : 4 - train_loss__MAX","Depth only variation : 3 - test_loss","Depth only variation : 3 - test_loss__MIN","Depth only variation : 3 - test_loss__MAX","Depth only variation : 3 - train_loss","Depth only variation : 3 - train_loss__MIN","Depth only variation : 3 - train_loss__MAX","Depth only variation : 2 - test_loss","Depth only variation : 2 - test_loss__MIN","Depth only variation : 2 - test_loss__MAX","Depth only variation : 2 - train_loss","Depth only variation : 2 - train_loss__MIN","Depth only variation : 2 - train_loss__MAX","Depth only variation : 1 - test_loss","Depth only variation : 1 - test_loss__MIN","Depth only variation : 1 - test_loss__MAX","Depth only variation : 1 - train_loss","Depth only variation : 1 - train_loss__MIN","Depth only variation : 1 - train_loss__MAX"
"0","2.257762488451871","2.257762488451871","2.257762488451871","2.3437609254902805","2.3437609254902805","2.3437609254902805","2.2345401339097455","2.2345401339097455","2.2345401339097455","2.3324631785250256","2.3324631785250256","2.3324631785250256","2.2284777511249887","2.2284777511249887","2.2284777511249887","2.3180196793874104","2.3180196793874104","2.3180196793874104","2.2327674735676157","2.2327674735676157","2.2327674735676157","2.323606106220991","2.323606106220991","2.323606106220991","2.2469454063068737","2.2469454063068737","2.2469454063068737","2.395338779427539","2.395338779427539","2.395338779427539","2.2820908277684993","2.2820908277684993","2.2820908277684993","3.4569584501200707","3.4569584501200707","3.4569584501200707"
"1","2.1606113251772796","2.1606113251772796","2.1606113251772796","2.2033937591245807","2.2033937591245807","2.2033937591245807","2.1409610288793393","2.1409610288793393","2.1409610288793393","2.186097554612434","2.186097554612434","2.186097554612434","2.154929541674527","2.154929541674527","2.154929541674527","2.179156263614523","2.179156263614523","2.179156263614523","2.1641635019128973","2.1641635019128973","2.1641635019128973","2.1905847333491533","2.1905847333491533","2.1905847333491533","2.2016404446688567","2.2016404446688567","2.2016404446688567","2.2041978458974554","2.2041978458974554","2.2041978458974554","2.2046966101906516","2.2046966101906516","2.2046966101906516","2.2157568003117354","2.2157568003117354","2.2157568003117354"
"2","2.1013484425978226","2.1013484425978226","2.1013484425978226","2.1284555531644274","2.1284555531644274","2.1284555531644274","2.1106376387856223","2.1106376387856223","2.1106376387856223","2.133445453972652","2.133445453972652","2.133445453972652","2.115086128061468","2.115086128061468","2.115086128061468","2.1293212831431423","2.1293212831431423","2.1293212831431423","2.1199328847364947","2.1199328847364947","2.1199328847364947","2.130971958664642","2.130971958664642","2.130971958664642","2.1675196968425405","2.1675196968425405","2.1675196968425405","2.1433705441705113","2.1433705441705113","2.1433705441705113","2.2076818812977184","2.2076818812977184","2.2076818812977184","2.146269808911729","2.146269808911729","2.146269808911729"
"3","2.0812366086786445","2.0812366086786445","2.0812366086786445","2.093715149232711","2.093715149232711","2.093715149232711","2.0780459586056796","2.0780459586056796","2.0780459586056796","2.087756682648056","2.087756682648056","2.087756682648056","2.087492738203569","2.087492738203569","2.087492738203569","2.0796677038587372","2.0796677038587372","2.0796677038587372","2.087045252973383","2.087045252973383","2.087045252973383","2.0868326780165747","2.0868326780165747","2.0868326780165747","2.166224282871593","2.166224282871593","2.166224282871593","2.1072113610410144","2.1072113610410144","2.1072113610410144","2.152068663510409","2.152068663510409","2.152068663510409","2.1290198512460994","2.1290198512460994","2.1290198512460994"
"4","2.0852303236181085","2.0852303236181085","2.0852303236181085","2.080306472997556","2.080306472997556","2.080306472997556","2.091989482532848","2.091989482532848","2.091989482532848","2.0617545999329665","2.0617545999329665","2.0617545999329665","2.0710749929601495","2.0710749929601495","2.0710749929601495","2.0625272674122077","2.0625272674122077","2.0625272674122077","2.102609149759466","2.102609149759466","2.102609149759466","2.061471061706543","2.061471061706543","2.061471061706543","2.0912078432603316","2.0912078432603316","2.0912078432603316","2.0796681899585945","2.0796681899585945","2.0796681899585945","2.2103212425925514","2.2103212425925514","2.2103212425925514","2.0972123577951014","2.0972123577951014","2.0972123577951014"
"5","2.049092748815363","2.049092748815363","2.049092748815363","2.0456650777794847","2.0456650777794847","2.0456650777794847","2.081486291018399","2.081486291018399","2.081486291018399","2.041971349496951","2.041971349496951","2.041971349496951","2.0622385120391846","2.0622385120391846","2.0622385120391846","2.02555609845567","2.02555609845567","2.02555609845567","2.0773965406417845","2.0773965406417845","2.0773965406417845","2.024857125994803","2.024857125994803","2.024857125994803","2.08377383665605","2.08377383665605","2.08377383665605","2.0238800834787303","2.0238800834787303","2.0238800834787303","2.132030610171231","2.132030610171231","2.132030610171231","2.070303042181607","2.070303042181607","2.070303042181607"
"6","2.034322377985174","2.034322377985174","2.034322377985174","2.0199487298110435","2.0199487298110435","2.0199487298110435","2.043559604991566","2.043559604991566","2.043559604991566","2.028422668172025","2.028422668172025","2.028422668172025","2.046411540291526","2.046411540291526","2.046411540291526","2.0076461076188363","2.0076461076188363","2.0076461076188363","2.061873855157332","2.061873855157332","2.061873855157332","2.0016438289072322","2.0016438289072322","2.0016438289072322","2.067179779139432","2.067179779139432","2.067179779139432","2.0190360523092337","2.0190360523092337","2.0190360523092337","2.164947493293069","2.164947493293069","2.164947493293069","2.078816372772743","2.078816372772743","2.078816372772743"
"7","2.0619428938085385","2.0619428938085385","2.0619428938085385","2.0207173915293026","2.0207173915293026","2.0207173915293026","2.071854874870994","2.071854874870994","2.071854874870994","1.996193358651523","1.996193358651523","1.996193358651523","2.0617649230090054","2.0617649230090054","2.0617649230090054","1.9832085611080301","1.9832085611080301","1.9832085611080301","2.032304719578136","2.032304719578136","2.032304719578136","1.9922372296212734","1.9922372296212734","1.9922372296212734","2.083157964619723","2.083157964619723","2.083157964619723","1.9974353412650097","1.9974353412650097","1.9974353412650097","2.140488788431341","2.140488788431341","2.140488788431341","2.0599100483422994","2.0599100483422994","2.0599100483422994"
"8","2.0317207085002553","2.0317207085002553","2.0317207085002553","1.9993203210830688","1.9993203210830688","1.9993203210830688","2.0461375401236794","2.0461375401236794","2.0461375401236794","1.9972489108162366","1.9972489108162366","1.9972489108162366","2.071995324221524","2.071995324221524","2.071995324221524","1.977582234349744","1.977582234349744","1.977582234349744","2.083232763463801","2.083232763463801","2.083232763463801","1.9660356103962866","1.9660356103962866","1.9660356103962866","2.1103534308346834","2.1103534308346834","2.1103534308346834","1.9680604339468069","1.9680604339468069","1.9680604339468069","2.110949267474088","2.110949267474088","2.110949267474088","2.0196565591877906","2.0196565591877906","2.0196565591877906"
"9","2.054672959067605","2.054672959067605","2.054672959067605","1.982996598550643","1.982996598550643","1.982996598550643","2.04055063160983","2.04055063160983","2.04055063160983","2.011079480839872","2.011079480839872","2.011079480839872","2.0605892142382536","2.0605892142382536","2.0605892142382536","1.9678802372943396","1.9678802372943396","1.9678802372943396","2.099591932296753","2.099591932296753","2.099591932296753","1.952279537628437","1.952279537628437","1.952279537628437","2.070895190672441","2.070895190672441","2.070895190672441","1.9634506256278903","1.9634506256278903","1.9634506256278903","2.157445309378884","2.157445309378884","2.157445309378884","1.9853167161174203","1.9853167161174203","1.9853167161174203"
"10","2.0426733753897928","2.0426733753897928","2.0426733753897928","1.9766900823308133","1.9766900823308133","1.9766900823308133","2.0574371962113815","2.0574371962113815","2.0574371962113815","1.9670139491421053","1.9670139491421053","1.9670139491421053","2.030283447612416","2.030283447612416","2.030283447612416","1.9441625112774727","1.9441625112774727","1.9441625112774727","2.029226695841009","2.029226695841009","2.029226695841009","1.9330029954581425","1.9330029954581425","1.9330029954581425","2.1060809885371814","2.1060809885371814","2.1060809885371814","1.951316946950452","1.951316946950452","1.951316946950452","2.134270585233515","2.134270585233515","2.134270585233515","1.9705201358356694","1.9705201358356694","1.9705201358356694"
"11","2.0270751935785465","2.0270751935785465","2.0270751935785465","1.9829787863260029","1.9829787863260029","1.9829787863260029","2.0296622813831675","2.0296622813831675","2.0296622813831675","1.956128149745108","1.956128149745108","1.956128149745108","2.04695575280623","2.04695575280623","2.04695575280623","1.9300236451488801","1.9300236451488801","1.9300236451488801","2.0474047561125324","2.0474047561125324","2.0474047561125324","1.9116663944310155","1.9116663944310155","1.9116663944310155","2.089518426548351","2.089518426548351","2.089518426548351","1.928163483718346","1.928163483718346","1.928163483718346","2.122097643071955","2.122097643071955","2.122097643071955","1.942169215322911","1.942169215322911","1.942169215322911"
"12","2.0368059782548382","2.0368059782548382","2.0368059782548382","1.961819583520122","1.961819583520122","1.961819583520122","2.0328221615878017","2.0328221615878017","2.0328221615878017","1.9408418878467604","1.9408418878467604","1.9408418878467604","2.033111336447976","2.033111336447976","2.033111336447976","1.9106853971262088","1.9106853971262088","1.9106853971262088","2.042055681402033","2.042055681402033","2.042055681402033","1.8867617672339254","1.8867617672339254","1.8867617672339254","2.0841885575381194","2.0841885575381194","2.0841885575381194","1.9102174360998745","1.9102174360998745","1.9102174360998745","2.159190368652344","2.159190368652344","2.159190368652344","1.9093733271785167","1.9093733271785167","1.9093733271785167"
"13","2.074879602952437","2.074879602952437","2.074879602952437","1.9467773044520411","1.9467773044520411","1.9467773044520411","2.035665459199385","2.035665459199385","2.035665459199385","1.9225687282934956","1.9225687282934956","1.9225687282934956","2.023915903785012","2.023915903785012","2.023915903785012","1.8846326517236645","1.8846326517236645","1.8846326517236645","2.043148051175204","2.043148051175204","2.043148051175204","1.8602435508267632","1.8602435508267632","1.8602435508267632","2.0727494994076814","2.0727494994076814","2.0727494994076814","1.8901160900620209","1.8901160900620209","1.8901160900620209","2.0938733040202746","2.0938733040202746","2.0938733040202746","1.9192031057949723","1.9192031057949723","1.9192031057949723"
"14","2.038747011531483","2.038747011531483","2.038747011531483","1.9372758001568673","1.9372758001568673","1.9372758001568673","2.02506385456432","2.02506385456432","2.02506385456432","1.9097127716020605","1.9097127716020605","1.9097127716020605","2.0477583555741745","2.0477583555741745","2.0477583555741745","1.8751274646013634","1.8751274646013634","1.8751274646013634","2.0594760552319613","2.0594760552319613","2.0594760552319613","1.8508272539336106","1.8508272539336106","1.8508272539336106","2.062155438336459","2.062155438336459","2.062155438336459","1.8996785283910818","1.8996785283910818","1.8996785283910818","2.1881976777857","2.1881976777857","2.1881976777857","1.9030500402121708","1.9030500402121708","1.9030500402121708"
"15","2.0422859408638696","2.0422859408638696","2.0422859408638696","1.927479427600729","1.927479427600729","1.927479427600729","2.024185755469582","2.024185755469582","2.024185755469582","1.9117850662099904","1.9117850662099904","1.9117850662099904","2.0267050821130925","2.0267050821130925","2.0267050821130925","1.85006402404829","1.85006402404829","1.85006402404829","2.033709113381126","2.033709113381126","2.033709113381126","1.8347594704025094","1.8347594704025094","1.8347594704025094","2.0443862611597234","2.0443862611597234","2.0443862611597234","1.8768147810026148","1.8768147810026148","1.8768147810026148","2.2145098105343903","2.2145098105343903","2.2145098105343903","1.9101220968399926","1.9101220968399926","1.9101220968399926"
"16","2.0132823423905806","2.0132823423905806","2.0132823423905806","1.9198406443102607","1.9198406443102607","1.9198406443102607","2.015989888798107","2.015989888798107","2.015989888798107","1.89297114295521","1.89297114295521","1.89297114295521","2.028554960597645","2.028554960597645","2.028554960597645","1.8428410182054016","1.8428410182054016","1.8428410182054016","2.065732481696389","2.065732481696389","2.065732481696389","1.823668691920138","1.823668691920138","1.823668691920138","2.08922060879794","2.08922060879794","2.08922060879794","1.8334436436905257","1.8334436436905257","1.8334436436905257","2.135490046414462","2.135490046414462","2.135490046414462","1.9188977901962982","1.9188977901962982","1.9188977901962982"
"17","2.0359643346613105","2.0359643346613105","2.0359643346613105","1.9045213365006721","1.9045213365006721","1.9045213365006721","2.0654854705116965","2.0654854705116965","2.0654854705116965","1.8989188923780946","1.8989188923780946","1.8989188923780946","2.0449823063070123","2.0449823063070123","2.0449823063070123","1.812919141287091","1.812919141287091","1.812919141287091","2.060320927880027","2.060320927880027","2.060320927880027","1.7942791888357579","1.7942791888357579","1.7942791888357579","2.0835431298342617","2.0835431298342617","2.0835431298342617","1.8397921245399562","1.8397921245399562","1.8397921245399562","2.146474059711803","2.146474059711803","2.146474059711803","1.8663754652286397","1.8663754652286397","1.8663754652286397"
"18","2.0164520896564833","2.0164520896564833","2.0164520896564833","1.8849206633951472","1.8849206633951472","1.8849206633951472","2.0242567426508122","2.0242567426508122","2.0242567426508122","1.8787679201433027","1.8787679201433027","1.8787679201433027","2.0613836123726585","2.0613836123726585","2.0613836123726585","1.797643914003482","1.797643914003482","1.797643914003482","2.0576639036698774","2.0576639036698774","2.0576639036698774","1.780084512425565","1.780084512425565","1.780084512425565","2.10694672497836","2.10694672497836","2.10694672497836","1.7957201595416015","1.7957201595416015","1.7957201595416015","2.1364799161390824","2.1364799161390824","2.1364799161390824","1.8210502297850861","1.8210502297850861","1.8210502297850861"
"19","2.047415003343062","2.047415003343062","2.047415003343062","1.8873119747227636","1.8873119747227636","1.8873119747227636","2.0235077086361972","2.0235077086361972","2.0235077086361972","1.8431379336324232","1.8431379336324232","1.8431379336324232","2.1041906426169654","2.1041906426169654","2.1041906426169654","1.763748180455175","1.763748180455175","1.763748180455175","2.087660443566062","2.087660443566062","2.087660443566062","1.7521365664471156","1.7521365664471156","1.7521365664471156","2.0799100667780097","2.0799100667780097","2.0799100667780097","1.7864114052673865","1.7864114052673865","1.7864114052673865","2.124896617369218","2.124896617369218","2.124896617369218","1.8312404577759491","1.8312404577759491","1.8312404577759491"
"20","2.040706520947543","2.040706520947543","2.040706520947543","1.858830276960614","1.858830276960614","1.858830276960614","2.0316799705678767","2.0316799705678767","2.0316799705678767","1.8240993478928489","1.8240993478928489","1.8240993478928489","2.0484711655703456","2.0484711655703456","2.0484711655703456","1.7531058238018518","1.7531058238018518","1.7531058238018518","2.0452950581637297","2.0452950581637297","2.0452950581637297","1.7389638391034357","1.7389638391034357","1.7389638391034357","2.125235155278986","2.125235155278986","2.125235155278986","1.798594455280523","1.798594455280523","1.798594455280523","2.195539329702204","2.195539329702204","2.195539329702204","1.7969219009903656","1.7969219009903656","1.7969219009903656"
"21","2.0381206000934946","2.0381206000934946","2.0381206000934946","1.8358341220329548","1.8358341220329548","1.8358341220329548","2.0237795721400866","2.0237795721400866","2.0237795721400866","1.8251563551234102","1.8251563551234102","1.8251563551234102","2.0736777769435535","2.0736777769435535","2.0736777769435535","1.7066717638914612","1.7066717638914612","1.7066717638914612","2.111456360383467","2.111456360383467","2.111456360383467","1.7036951830195284","1.7036951830195284","1.7036951830195284","2.126512947949496","2.126512947949496","2.126512947949496","1.7661373137879646","1.7661373137879646","1.7661373137879646","2.1158745054765182","2.1158745054765182","2.1158745054765182","1.7880453399132037","1.7880453399132037","1.7880453399132037"
