"Step","Depth only variation : 6 - test_loss","Depth only variation : 6 - test_loss__MIN","Depth only variation : 6 - test_loss__MAX","Depth only variation : 6 - train_loss","Depth only variation : 6 - train_loss__MIN","Depth only variation : 6 - train_loss__MAX","Depth only variation : 5 - test_loss","Depth only variation : 5 - test_loss__MIN","Depth only variation : 5 - test_loss__MAX","Depth only variation : 5 - train_loss","Depth only variation : 5 - train_loss__MIN","Depth only variation : 5 - train_loss__MAX","Depth only variation : 4 - test_loss","Depth only variation : 4 - test_loss__MIN","Depth only variation : 4 - test_loss__MAX","Depth only variation : 4 - train_loss","Depth only variation : 4 - train_loss__MIN","Depth only variation : 4 - train_loss__MAX","Depth only variation : 3 - test_loss","Depth only variation : 3 - test_loss__MIN","Depth only variation : 3 - test_loss__MAX","Depth only variation : 3 - train_loss","Depth only variation : 3 - train_loss__MIN","Depth only variation : 3 - train_loss__MAX","Depth only variation : 2 - test_loss","Depth only variation : 2 - test_loss__MIN","Depth only variation : 2 - test_loss__MAX","Depth only variation : 2 - train_loss","Depth only variation : 2 - train_loss__MIN","Depth only variation : 2 - train_loss__MAX","Depth only variation : 1 - test_loss","Depth only variation : 1 - test_loss__MIN","Depth only variation : 1 - test_loss__MAX","Depth only variation : 1 - train_loss","Depth only variation : 1 - train_loss__MIN","Depth only variation : 1 - train_loss__MAX","Width only variation : 2048 - test_loss","Width only variation : 2048 - test_loss__MIN","Width only variation : 2048 - test_loss__MAX","Width only variation : 2048 - train_loss","Width only variation : 2048 - train_loss__MIN","Width only variation : 2048 - train_loss__MAX","Width only variation : 1024 - test_loss","Width only variation : 1024 - test_loss__MIN","Width only variation : 1024 - test_loss__MAX","Width only variation : 1024 - train_loss","Width only variation : 1024 - train_loss__MIN","Width only variation : 1024 - train_loss__MAX","Width only variation : 512 - test_loss","Width only variation : 512 - test_loss__MIN","Width only variation : 512 - test_loss__MAX","Width only variation : 512 - train_loss","Width only variation : 512 - train_loss__MIN","Width only variation : 512 - train_loss__MAX","Width only variation : 256 - test_loss","Width only variation : 256 - test_loss__MIN","Width only variation : 256 - test_loss__MAX","Width only variation : 256 - train_loss","Width only variation : 256 - train_loss__MIN","Width only variation : 256 - train_loss__MAX"
"0","2.314660689614036","2.314660689614036","2.314660689614036","2.3757998368931914","2.3757998368931914","2.3757998368931914","2.2959969685294412","2.2959969685294412","2.2959969685294412","2.3726253270554816","2.3726253270554816","2.3726253270554816","2.2912554758245296","2.2912554758245296","2.2912554758245296","2.3733939519421807","2.3733939519421807","2.3733939519421807","2.3045311242883857","2.3045311242883857","2.3045311242883857","2.384787529254782","2.384787529254782","2.384787529254782","2.301383522207087","2.301383522207087","2.301383522207087","2.4473427826234664","2.4473427826234664","2.4473427826234664","2.365843413092873","2.365843413092873","2.365843413092873","3.4982707127757457","3.4982707127757457","3.4982707127757457","2.29817232912237","2.29817232912237","2.29817232912237","3.2519538529713947","3.2519538529713947","3.2519538529713947","2.2994967582009056","2.2994967582009056","2.2994967582009056","2.705390847195154","2.705390847195154","2.705390847195154","2.2678393190557307","2.2678393190557307","2.2678393190557307","2.483134636714541","2.483134636714541","2.483134636714541","2.250182964151556","2.250182964151556","2.250182964151556","2.426481544341164","2.426481544341164","2.426481544341164"
"1","2.2515277021581475","2.2515277021581475","2.2515277021581475","2.312812352454525","2.312812352454525","2.312812352454525","2.210939207944003","2.210939207944003","2.210939207944003","2.3018230991802","2.3018230991802","2.3018230991802","2.2188628101348877","2.2188628101348877","2.2188628101348877","2.3006955700359124","2.3006955700359124","2.3006955700359124","2.239504076350819","2.239504076350819","2.239504076350819","2.3068302698244993","2.3068302698244993","2.3068302698244993","2.209267981269143","2.209267981269143","2.209267981269143","2.295888884862264","2.295888884862264","2.295888884862264","2.214158149199052","2.214158149199052","2.214158149199052","2.3120292306220396","2.3120292306220396","2.3120292306220396","2.207236962751909","2.207236962751909","2.207236962751909","2.318782160199922","2.318782160199922","2.318782160199922","2.2242487543279474","2.2242487543279474","2.2242487543279474","2.3218956645877884","2.3218956645877884","2.3218956645877884","2.2216801998832008","2.2216801998832008","2.2216801998832008","2.318715661695634","2.318715661695634","2.318715661695634","2.205212096300992","2.205212096300992","2.205212096300992","2.293942179844297","2.293942179844297","2.293942179844297"
"2","2.2187722500887785","2.2187722500887785","2.2187722500887785","2.281064550465551","2.281064550465551","2.281064550465551","2.1948146750710227","2.1948146750710227","2.1948146750710227","2.2694303710981347","2.2694303710981347","2.2694303710981347","2.1794351811842483","2.1794351811842483","2.1794351811842483","2.2565776293305144","2.2565776293305144","2.2565776293305144","2.209964940331199","2.209964940331199","2.209964940331199","2.278651229924169","2.278651229924169","2.278651229924169","2.1710085886174983","2.1710085886174983","2.1710085886174983","2.2679094164398896","2.2679094164398896","2.2679094164398896","2.2611927517977626","2.2611927517977626","2.2611927517977626","2.2843008178404007","2.2843008178404007","2.2843008178404007","2.195560132806951","2.195560132806951","2.195560132806951","2.3001721060961144","2.3001721060961144","2.3001721060961144","2.176441429311579","2.176441429311579","2.176441429311579","2.289387122296739","2.289387122296739","2.289387122296739","2.240618800683455","2.240618800683455","2.240618800683455","2.2853293485751096","2.2853293485751096","2.2853293485751096","2.232046133821661","2.232046133821661","2.232046133821661","2.273893124262492","2.273893124262492","2.273893124262492"
"3","2.188825084512884","2.188825084512884","2.188825084512884","2.250472863953689","2.250472863953689","2.250472863953689","2.1720616696097634","2.1720616696097634","2.1720616696097634","2.243034930941702","2.243034930941702","2.243034930941702","2.1606470238078725","2.1606470238078725","2.1606470238078725","2.247531600053283","2.247531600053283","2.247531600053283","2.166602438146418","2.166602438146418","2.166602438146418","2.2560394704752955","2.2560394704752955","2.2560394704752955","2.16977841203863","2.16977841203863","2.16977841203863","2.245258700052897","2.245258700052897","2.245258700052897","2.222763353694569","2.222763353694569","2.222763353694569","2.2981615904007837","2.2981615904007837","2.2981615904007837","2.176270926215432","2.176270926215432","2.176270926215432","2.2724863908482695","2.2724863908482695","2.2724863908482695","2.211548478820107","2.211548478820107","2.211548478820107","2.280968715295024","2.280968715295024","2.280968715295024","2.1721228244087913","2.1721228244087913","2.1721228244087913","2.2693938825322295","2.2693938825322295","2.2693938825322295","2.239133464639837","2.239133464639837","2.239133464639837","2.274326405689634","2.274326405689634","2.274326405689634"
"4","2.163714408007535","2.163714408007535","2.163714408007535","2.2475002381993434","2.2475002381993434","2.2475002381993434","2.154497319134799","2.154497319134799","2.154497319134799","2.2412631402070495","2.2412631402070495","2.2412631402070495","2.1646997772563585","2.1646997772563585","2.1646997772563585","2.2333338520444674","2.2333338520444674","2.2333338520444674","2.171920095790516","2.171920095790516","2.171920095790516","2.2441514800060753","2.2441514800060753","2.2441514800060753","2.179454885829579","2.179454885829579","2.179454885829579","2.2495032645916115","2.2495032645916115","2.2495032645916115","2.2566210252588443","2.2566210252588443","2.2566210252588443","2.302263171535799","2.302263171535799","2.302263171535799","2.1797341580824416","2.1797341580824416","2.1797341580824416","2.2605188085841035","2.2605188085841035","2.2605188085841035","2.199358815279874","2.199358815279874","2.199358815279874","2.2703354380596643","2.2703354380596643","2.2703354380596643","2.1767347448522396","2.1767347448522396","2.1767347448522396","2.251869472854439","2.251869472854439","2.251869472854439","2.178717572472312","2.178717572472312","2.178717572472312","2.2767839744173246","2.2767839744173246","2.2767839744173246"
"5","2.1886508248069068","2.1886508248069068","2.1886508248069068","2.23252880414327","2.23252880414327","2.23252880414327","2.147518682479858","2.147518682479858","2.147518682479858","2.2327763785438974","2.2327763785438974","2.2327763785438974","2.149210629896684","2.149210629896684","2.149210629896684","2.2316348984597743","2.2316348984597743","2.2316348984597743","2.148690993569114","2.148690993569114","2.148690993569114","2.2357993653176846","2.2357993653176846","2.2357993653176846","2.194579950679432","2.194579950679432","2.194579950679432","2.256560925670054","2.256560925670054","2.256560925670054","2.1920678216760807","2.1920678216760807","2.1920678216760807","2.299271652397068","2.299271652397068","2.299271652397068","2.174939449483698","2.174939449483698","2.174939449483698","2.246730361039611","2.246730361039611","2.246730361039611","2.1663189523870297","2.1663189523870297","2.1663189523870297","2.2579400378260117","2.2579400378260117","2.2579400378260117","2.1660258293151857","2.1660258293151857","2.1660258293151857","2.2437623598383762","2.2437623598383762","2.2437623598383762","2.199237085689198","2.199237085689198","2.199237085689198","2.2491271005827804","2.2491271005827804","2.2491271005827804"
"6","2.1515065219185567","2.1515065219185567","2.1515065219185567","2.224922995402895","2.224922995402895","2.224922995402895","2.138366711356423","2.138366711356423","2.138366711356423","2.223226636141196","2.223226636141196","2.223226636141196","2.13258130680431","2.13258130680431","2.13258130680431","2.211876759912776","2.211876759912776","2.211876759912776","2.145153493881226","2.145153493881226","2.145153493881226","2.2365656900953974","2.2365656900953974","2.2365656900953974","2.1421466198834507","2.1421466198834507","2.1421466198834507","2.2362777290125004","2.2362777290125004","2.2362777290125004","2.161958495920355","2.161958495920355","2.161958495920355","2.2699707878595112","2.2699707878595112","2.2699707878595112","2.1588053382526744","2.1588053382526744","2.1588053382526744","2.2448045811707944","2.2448045811707944","2.2448045811707944","2.1782779858329078","2.1782779858329078","2.1782779858329078","2.2587637857459057","2.2587637857459057","2.2587637857459057","2.159510992223566","2.159510992223566","2.159510992223566","2.2495378245430433","2.2495378245430433","2.2495378245430433","2.1535245418548583","2.1535245418548583","2.1535245418548583","2.2610079231481444","2.2610079231481444","2.2610079231481444"
"7","2.1344609373266046","2.1344609373266046","2.1344609373266046","2.217831485901756","2.217831485901756","2.217831485901756","2.151314835981889","2.151314835981889","2.151314835981889","2.2218532859319926","2.2218532859319926","2.2218532859319926","2.136494956450029","2.136494956450029","2.136494956450029","2.212448063664053","2.212448063664053","2.212448063664053","2.1406647526134144","2.1406647526134144","2.1406647526134144","2.230430739501427","2.230430739501427","2.230430739501427","2.153545515754006","2.153545515754006","2.153545515754006","2.2330726039272615","2.2330726039272615","2.2330726039272615","2.1931966027346523","2.1931966027346523","2.1931966027346523","2.283968405668763","2.283968405668763","2.283968405668763","2.182920530492609","2.182920530492609","2.182920530492609","2.224124652380231","2.224124652380231","2.224124652380231","2.1755008029937746","2.1755008029937746","2.1755008029937746","2.241706847815678","2.241706847815678","2.241706847815678","2.1640077807686544","2.1640077807686544","2.1640077807686544","2.2349377323019093","2.2349377323019093","2.2349377323019093","2.1428028392791747","2.1428028392791747","2.1428028392791747","2.2510272274894274","2.2510272274894274","2.2510272274894274"
"8","2.1265765060078015","2.1265765060078015","2.1265765060078015","2.2095008545360346","2.2095008545360346","2.2095008545360346","2.133467095114968","2.133467095114968","2.133467095114968","2.213730235593072","2.213730235593072","2.213730235593072","2.1145488834381103","2.1145488834381103","2.1145488834381103","2.2097628117703842","2.2097628117703842","2.2097628117703842","2.121412087353793","2.121412087353793","2.121412087353793","2.2192580140870195","2.2192580140870195","2.2192580140870195","2.1558223802393135","2.1558223802393135","2.1558223802393135","2.248007161041786","2.248007161041786","2.248007161041786","2.20714468609203","2.20714468609203","2.20714468609203","2.291783773049541","2.291783773049541","2.291783773049541","2.133381318179044","2.133381318179044","2.133381318179044","2.226846984337116","2.226846984337116","2.226846984337116","2.1347786270488394","2.1347786270488394","2.1347786270488394","2.22473028106251","2.22473028106251","2.22473028106251","2.1231270746751263","2.1231270746751263","2.1231270746751263","2.2341088197423122","2.2341088197423122","2.2341088197423122","2.1548719024658203","2.1548719024658203","2.1548719024658203","2.2107730622127137","2.2107730622127137","2.2107730622127137"
"9","2.1227750925584274","2.1227750925584274","2.1227750925584274","2.210304318789778","2.210304318789778","2.210304318789778","2.1695589368993584","2.1695589368993584","2.1695589368993584","2.2062536783328","2.2062536783328","2.2062536783328","2.118593772541393","2.118593772541393","2.118593772541393","2.2028130987320824","2.2028130987320824","2.2028130987320824","2.1346424284848298","2.1346424284848298","2.1346424284848298","2.2099099500151884","2.2099099500151884","2.2099099500151884","2.181133306676691","2.181133306676691","2.181133306676691","2.231711319342427","2.231711319342427","2.231711319342427","2.138228953101418","2.138228953101418","2.138228953101418","2.284405195521212","2.284405195521212","2.284405195521212","2.136214708848433","2.136214708848433","2.136214708848433","2.214957518084296","2.214957518084296","2.214957518084296","2.1279710821671918","2.1279710821671918","2.1279710821671918","2.22752376096002","2.22752376096002","2.22752376096002","2.1547568928111684","2.1547568928111684","2.1547568928111684","2.2159561554042773","2.2159561554042773","2.2159561554042773","2.15390747200359","2.15390747200359","2.15390747200359","2.2292494515166887","2.2292494515166887","2.2292494515166887"
