"Step","LastLayerWidth: patch=32 non-overlap merge=voting last_w=2048 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=voting last_w=2048 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=voting last_w=2048 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=voting last_w=2048 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=voting last_w=2048 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=voting last_w=2048 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=median last_w=2048 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=median last_w=2048 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=median last_w=2048 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=median last_w=2048 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=median last_w=2048 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=median last_w=2048 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=max last_w=2048 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=max last_w=2048 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=max last_w=2048 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=max last_w=2048 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=max last_w=2048 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=max last_w=2048 d=2 - train_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - test_accuracy__MAX","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy__MIN","LastLayerWidth: patch=32 non-overlap merge=mean last_w=2048 d=2 - train_accuracy__MAX"
"0","0.15818181818181817","0.15818181818181817","0.15818181818181817","0.11816091954022989","0.11816091954022989","0.11816091954022989","0.14","0.14","0.14","0.11517241379310345","0.11517241379310345","0.11517241379310345","0.13363636363636364","0.13363636363636364","0.13363636363636364","0.1157471264367816","0.1157471264367816","0.1157471264367816","0.15681818181818183","0.15681818181818183","0.15681818181818183","0.11793103448275861","0.11793103448275861","0.11793103448275861"
"1","0.1618181818181818","0.1618181818181818","0.1618181818181818","0.15183908045977013","0.15183908045977013","0.15183908045977013","0.1509090909090909","0.1509090909090909","0.1509090909090909","0.14563218390804597","0.14563218390804597","0.14563218390804597","0.1668181818181818","0.1668181818181818","0.1668181818181818","0.13701149425287357","0.13701149425287357","0.13701149425287357","0.1690909090909091","0.1690909090909091","0.1690909090909091","0.1539080459770115","0.1539080459770115","0.1539080459770115"
"2","0.1940909090909091","0.1940909090909091","0.1940909090909091","0.15551724137931033","0.15551724137931033","0.15551724137931033","0.18136363636363637","0.18136363636363637","0.18136363636363637","0.1481609195402299","0.1481609195402299","0.1481609195402299","0.17636363636363636","0.17636363636363636","0.17636363636363636","0.14011494252873563","0.14011494252873563","0.14011494252873563","0.19772727272727272","0.19772727272727272","0.19772727272727272","0.1606896551724138","0.1606896551724138","0.1606896551724138"
"3","0.1809090909090909","0.1809090909090909","0.1809090909090909","0.15586206896551724","0.15586206896551724","0.15586206896551724","0.1759090909090909","0.1759090909090909","0.1759090909090909","0.15517241379310345","0.15517241379310345","0.15517241379310345","0.18545454545454546","0.18545454545454546","0.18545454545454546","0.1528735632183908","0.1528735632183908","0.1528735632183908","0.19272727272727272","0.19272727272727272","0.19272727272727272","0.16551724137931034","0.16551724137931034","0.16551724137931034"
"4","0.2059090909090909","0.2059090909090909","0.2059090909090909","0.16229885057471263","0.16229885057471263","0.16229885057471263","0.18454545454545454","0.18454545454545454","0.18454545454545454","0.1589655172413793","0.1589655172413793","0.1589655172413793","0.18681818181818183","0.18681818181818183","0.18681818181818183","0.15517241379310345","0.15517241379310345","0.15517241379310345","0.22227272727272726","0.22227272727272726","0.22227272727272726","0.16482758620689655","0.16482758620689655","0.16482758620689655"
"5","0.1940909090909091","0.1940909090909091","0.1940909090909091","0.17333333333333334","0.17333333333333334","0.17333333333333334","0.18272727272727274","0.18272727272727274","0.18272727272727274","0.16632183908045978","0.16632183908045978","0.16632183908045978","0.16863636363636364","0.16863636363636364","0.16863636363636364","0.14908045977011494","0.14908045977011494","0.14908045977011494","0.2081818181818182","0.2081818181818182","0.2081818181818182","0.18379310344827587","0.18379310344827587","0.18379310344827587"
"6","0.20545454545454545","0.20545454545454545","0.20545454545454545","0.17574712643678161","0.17574712643678161","0.17574712643678161","0.1759090909090909","0.1759090909090909","0.1759090909090909","0.17172413793103447","0.17172413793103447","0.17172413793103447","0.15772727272727272","0.15772727272727272","0.15772727272727272","0.1610344827586207","0.1610344827586207","0.1610344827586207","0.2268181818181818","0.2268181818181818","0.2268181818181818","0.19045977011494253","0.19045977011494253","0.19045977011494253"
"7","0.20045454545454544","0.20045454545454544","0.20045454545454544","0.18068965517241378","0.18068965517241378","0.18068965517241378","0.18818181818181817","0.18818181818181817","0.18818181818181817","0.17206896551724138","0.17206896551724138","0.17206896551724138","0.17909090909090908","0.17909090909090908","0.17909090909090908","0.1632183908045977","0.1632183908045977","0.1632183908045977","0.21954545454545454","0.21954545454545454","0.21954545454545454","0.1967816091954023","0.1967816091954023","0.1967816091954023"
"8","0.21636363636363637","0.21636363636363637","0.21636363636363637","0.18448275862068966","0.18448275862068966","0.18448275862068966","0.20272727272727273","0.20272727272727273","0.20272727272727273","0.17839080459770115","0.17839080459770115","0.17839080459770115","0.17772727272727273","0.17772727272727273","0.17772727272727273","0.16689655172413792","0.16689655172413792","0.16689655172413792","0.23227272727272727","0.23227272727272727","0.23227272727272727","0.19942528735632184","0.19942528735632184","0.19942528735632184"
"9","0.20909090909090908","0.20909090909090908","0.20909090909090908","0.19011494252873562","0.19011494252873562","0.19011494252873562","0.21454545454545454","0.21454545454545454","0.21454545454545454","0.18459770114942528","0.18459770114942528","0.18459770114942528","0.18363636363636363","0.18363636363636363","0.18363636363636363","0.16080459770114944","0.16080459770114944","0.16080459770114944","0.22227272727272726","0.22227272727272726","0.22227272727272726","0.20333333333333334","0.20333333333333334","0.20333333333333334"
"10","0.21272727272727274","0.21272727272727274","0.21272727272727274","0.18563218390804598","0.18563218390804598","0.18563218390804598","0.205","0.205","0.205","0.18747126436781608","0.18747126436781608","0.18747126436781608","0.18636363636363637","0.18636363636363637","0.18636363636363637","0.15758620689655173","0.15758620689655173","0.15758620689655173","0.2431818181818182","0.2431818181818182","0.2431818181818182","0.2","0.2","0.2"
"11","0.23318181818181818","0.23318181818181818","0.23318181818181818","0.1935632183908046","0.1935632183908046","0.1935632183908046","0.21863636363636363","0.21863636363636363","0.21863636363636363","0.18471264367816093","0.18471264367816093","0.18471264367816093","0.16818181818181818","0.16818181818181818","0.16818181818181818","0.16586206896551725","0.16586206896551725","0.16586206896551725","0.23681818181818182","0.23681818181818182","0.23681818181818182","0.2028735632183908","0.2028735632183908","0.2028735632183908"
"12","0.21136363636363636","0.21136363636363636","0.21136363636363636","0.19","0.19","0.19","0.19227272727272726","0.19227272727272726","0.19227272727272726","0.19137931034482758","0.19137931034482758","0.19137931034482758","0.18636363636363637","0.18636363636363637","0.18636363636363637","0.16218390804597702","0.16218390804597702","0.16218390804597702","0.23045454545454547","0.23045454545454547","0.23045454545454547","0.1996551724137931","0.1996551724137931","0.1996551724137931"
"13","0.22090909090909092","0.22090909090909092","0.22090909090909092","0.1932183908045977","0.1932183908045977","0.1932183908045977","0.2159090909090909","0.2159090909090909","0.2159090909090909","0.19344827586206897","0.19344827586206897","0.19344827586206897","0.1890909090909091","0.1890909090909091","0.1890909090909091","0.1685057471264368","0.1685057471264368","0.1685057471264368","0.23136363636363635","0.23136363636363635","0.23136363636363635","0.20954022988505747","0.20954022988505747","0.20954022988505747"
"14","0.21272727272727274","0.21272727272727274","0.21272727272727274","0.19333333333333333","0.19333333333333333","0.19333333333333333","0.2109090909090909","0.2109090909090909","0.2109090909090909","0.1939080459770115","0.1939080459770115","0.1939080459770115","0.18181818181818182","0.18181818181818182","0.18181818181818182","0.16816091954022988","0.16816091954022988","0.16816091954022988","0.22818181818181818","0.22818181818181818","0.22818181818181818","0.21183908045977012","0.21183908045977012","0.21183908045977012"
