"Step","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed - test_accuracy","Squeeze-and-Excitation Unfreezed - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed - test_accuracy__MAX","Add-New-Block Unfreezed WDA - test_accuracy","Add-New-Block Unfreezed WDA - test_accuracy__MIN","Add-New-Block Unfreezed WDA - test_accuracy__MAX","Remove-2-Blocks Unfreezed WDA - test_accuracy","Remove-2-Blocks Unfreezed WDA - test_accuracy__MIN","Remove-2-Blocks Unfreezed WDA - test_accuracy__MAX","Remove-1-Block Unfreezed WDA - test_accuracy","Remove-1-Block Unfreezed WDA - test_accuracy__MIN","Remove-1-Block Unfreezed WDA - test_accuracy__MAX","Add-New-Block Unfreezed - test_accuracy","Add-New-Block Unfreezed - test_accuracy__MIN","Add-New-Block Unfreezed - test_accuracy__MAX","Remove-2-Blocks Unfreezed - test_accuracy","Remove-2-Blocks Unfreezed - test_accuracy__MIN","Remove-2-Blocks Unfreezed - test_accuracy__MAX","Remove-1-Block Unfreezed - test_accuracy","Remove-1-Block Unfreezed - test_accuracy__MIN","Remove-1-Block Unfreezed - test_accuracy__MAX"
"0","0.21022727272727273","0.21022727272727273","0.21022727272727273","0.19536713286713286","0.19536713286713286","0.19536713286713286","0.6730769230769231","0.6730769230769231","0.6730769230769231","0.29414335664335667","0.29414335664335667","0.29414335664335667","0.23863636363636365","0.23863636363636365","0.23863636363636365","0.5437062937062938","0.5437062937062938","0.5437062937062938","0.15821678321678323","0.15821678321678323","0.15821678321678323","0.32867132867132864","0.32867132867132864","0.32867132867132864"
"1","0.7176573426573427","0.7176573426573427","0.7176573426573427","0.6835664335664335","0.6835664335664335","0.6835664335664335","0.8675699300699301","0.8675699300699301","0.8675699300699301","0.5681818181818182","0.5681818181818182","0.5681818181818182","0.6302447552447552","0.6302447552447552","0.6302447552447552","0.8688811188811189","0.8688811188811189","0.8688811188811189","0.3151223776223776","0.3151223776223776","0.3151223776223776","0.7198426573426573","0.7198426573426573","0.7198426573426573"
"2","0.8653846153846154","0.8653846153846154","0.8653846153846154","0.8859265734265734","0.8859265734265734","0.8859265734265734","0.9020979020979021","0.9020979020979021","0.9020979020979021","0.5935314685314685","0.5935314685314685","0.5935314685314685","0.6927447552447552","0.6927447552447552","0.6927447552447552","0.9178321678321678","0.9178321678321678","0.9178321678321678","0.4982517482517482","0.4982517482517482","0.4982517482517482","0.8247377622377622","0.8247377622377622","0.8247377622377622"
"3","0.9152097902097902","0.9152097902097902","0.9152097902097902","0.9204545454545454","0.9204545454545454","0.9204545454545454","0.916958041958042","0.916958041958042","0.916958041958042","0.6359265734265734","0.6359265734265734","0.6359265734265734","0.7631118881118881","0.7631118881118881","0.7631118881118881","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.5926573426573427","0.5926573426573427","0.5926573426573427","0.840034965034965","0.840034965034965","0.840034965034965"
"4","0.9296328671328671","0.9296328671328671","0.9296328671328671","0.9348776223776224","0.9348776223776224","0.9348776223776224","0.9256993006993007","0.9256993006993007","0.9256993006993007","0.652534965034965","0.652534965034965","0.652534965034965","0.8579545454545454","0.8579545454545454","0.8579545454545454","0.944493006993007","0.944493006993007","0.944493006993007","0.6271853146853147","0.6271853146853147","0.6271853146853147","0.8833041958041958","0.8833041958041958","0.8833041958041958"
"5","0.9348776223776224","0.9348776223776224","0.9348776223776224","0.9379370629370629","0.9379370629370629","0.9379370629370629","0.9383741258741258","0.9383741258741258","0.9383741258741258","0.7084790209790209","0.7084790209790209","0.7084790209790209","0.9034090909090909","0.9034090909090909","0.9034090909090909","0.9423076923076923","0.9423076923076923","0.9423076923076923","0.6813811188811189","0.6813811188811189","0.6813811188811189","0.9003496503496503","0.9003496503496503","0.9003496503496503"
"6","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.9409965034965035","0.9409965034965035","0.9409965034965035","0.9366258741258742","0.9366258741258742","0.9366258741258742","0.7128496503496503","0.7128496503496503","0.7128496503496503","0.9121503496503497","0.9121503496503497","0.9121503496503497","0.9427447552447552","0.9427447552447552","0.9427447552447552","0.7421328671328671","0.7421328671328671","0.7421328671328671","0.9182692307692307","0.9182692307692307","0.9182692307692307"
"7","0.9493006993006993","0.9493006993006993","0.9493006993006993","0.9431818181818182","0.9431818181818182","0.9431818181818182","0.9401223776223776","0.9401223776223776","0.9401223776223776","0.763986013986014","0.763986013986014","0.763986013986014","0.9208916083916084","0.9208916083916084","0.9208916083916084","0.9414335664335665","0.9414335664335665","0.9414335664335665","0.7862762237762237","0.7862762237762237","0.7862762237762237","0.9195804195804196","0.9195804195804196","0.9195804195804196"
"8","0.9493006993006993","0.9493006993006993","0.9493006993006993","0.9427447552447552","0.9427447552447552","0.9427447552447552","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.791958041958042","0.791958041958042","0.791958041958042","0.9121503496503497","0.9121503496503497","0.9121503496503497","0.9449300699300699","0.9449300699300699","0.9449300699300699","0.8033216783216783","0.8033216783216783","0.8033216783216783","0.9173951048951049","0.9173951048951049","0.9173951048951049"
"9","0.9431818181818182","0.9431818181818182","0.9431818181818182","0.9414335664335665","0.9414335664335665","0.9414335664335665","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.7548076923076923","0.7548076923076923","0.7548076923076923","0.9204545454545454","0.9204545454545454","0.9204545454545454","0.9405594405594405","0.9405594405594405","0.9405594405594405","0.7854020979020979","0.7854020979020979","0.7854020979020979","0.9217657342657343","0.9217657342657343","0.9217657342657343"
