"Step","Squeeze-and-Excitation Unfreezed WDA - train_accuracy","Squeeze-and-Excitation Unfreezed WDA - train_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - train_accuracy__MAX","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed - train_accuracy","Squeeze-and-Excitation Unfreezed - train_accuracy__MIN","Squeeze-and-Excitation Unfreezed - train_accuracy__MAX","Squeeze-and-Excitation Unfreezed - test_accuracy","Squeeze-and-Excitation Unfreezed - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed - test_accuracy__MAX"
"0","0.3525","0.3525","0.3525","0.21022727272727273","0.21022727272727273","0.21022727272727273","0.3925","0.3925","0.3925","0.19536713286713286","0.19536713286713286","0.19536713286713286"
"1","0.79","0.79","0.79","0.7176573426573427","0.7176573426573427","0.7176573426573427","0.9325","0.9325","0.9325","0.6835664335664335","0.6835664335664335","0.6835664335664335"
"2","0.9175","0.9175","0.9175","0.8653846153846154","0.8653846153846154","0.8653846153846154","0.9875","0.9875","0.9875","0.8859265734265734","0.8859265734265734","0.8859265734265734"
"3","0.935","0.935","0.935","0.9152097902097902","0.9152097902097902","0.9152097902097902","0.9925","0.9925","0.9925","0.9204545454545454","0.9204545454545454","0.9204545454545454"
"4","0.95","0.95","0.95","0.9296328671328671","0.9296328671328671","0.9296328671328671","0.9975","0.9975","0.9975","0.9348776223776224","0.9348776223776224","0.9348776223776224"
"5","0.965","0.965","0.965","0.9348776223776224","0.9348776223776224","0.9348776223776224","1","1","1","0.9379370629370629","0.9379370629370629","0.9379370629370629"
"6","0.975","0.975","0.975","0.9418706293706294","0.9418706293706294","0.9418706293706294","0.9975","0.9975","0.9975","0.9409965034965035","0.9409965034965035","0.9409965034965035"
"7","0.9875","0.9875","0.9875","0.9493006993006993","0.9493006993006993","0.9493006993006993","1","1","1","0.9431818181818182","0.9431818181818182","0.9431818181818182"
"8","0.9925","0.9925","0.9925","0.9493006993006993","0.9493006993006993","0.9493006993006993","1","1","1","0.9427447552447552","0.9427447552447552","0.9427447552447552"
"9","0.995","0.995","0.995","0.9431818181818182","0.9431818181818182","0.9431818181818182","1","1","1","0.9414335664335665","0.9414335664335665","0.9414335664335665"
"10","0.995","0.995","0.995","0.9471153846153846","0.9471153846153846","0.9471153846153846","1","1","1","0.9409965034965035","0.9409965034965035","0.9409965034965035"
"11","0.985","0.985","0.985","0.9453671328671329","0.9453671328671329","0.9453671328671329","1","1","1","0.9409965034965035","0.9409965034965035","0.9409965034965035"
"12","0.9975","0.9975","0.9975","0.9466783216783217","0.9466783216783217","0.9466783216783217","1","1","1","0.9401223776223776","0.9401223776223776","0.9401223776223776"
"13","0.9975","0.9975","0.9975","0.9484265734265734","0.9484265734265734","0.9484265734265734","1","1","1","0.9379370629370629","0.9379370629370629","0.9379370629370629"
"14","0.9925","0.9925","0.9925","0.9431818181818182","0.9431818181818182","0.9431818181818182","1","1","1","0.9401223776223776","0.9401223776223776","0.9401223776223776"
"15","0.9925","0.9925","0.9925","0.944493006993007","0.944493006993007","0.944493006993007","1","1","1","0.9409965034965035","0.9409965034965035","0.9409965034965035"
"16","0.9975","0.9975","0.9975","0.9471153846153846","0.9471153846153846","0.9471153846153846","1","1","1","0.9401223776223776","0.9401223776223776","0.9401223776223776"
"17","0.99","0.99","0.99","0.9423076923076923","0.9423076923076923","0.9423076923076923","1","1","1","0.9401223776223776","0.9401223776223776","0.9401223776223776"
"18","1","1","1","0.9462412587412588","0.9462412587412588","0.9462412587412588","1","1","1","0.9383741258741258","0.9383741258741258","0.9383741258741258"
"19","0.9925","0.9925","0.9925","0.9471153846153846","0.9471153846153846","0.9471153846153846","1","1","1","0.9409965034965035","0.9409965034965035","0.9409965034965035"
"20","0.995","0.995","0.995","0.9436188811188811","0.9436188811188811","0.9436188811188811","1","1","1","0.9388111888111889","0.9388111888111889","0.9388111888111889"
"21","0.9975","0.9975","0.9975","0.9449300699300699","0.9449300699300699","0.9449300699300699","1","1","1","0.9423076923076923","0.9423076923076923","0.9423076923076923"
"22","0.9925","0.9925","0.9925","0.9493006993006993","0.9493006993006993","0.9493006993006993","1","1","1","0.9396853146853147","0.9396853146853147","0.9396853146853147"
"23","0.9975","0.9975","0.9975","0.9431818181818182","0.9431818181818182","0.9431818181818182","","","","","",""
"24","0.9975","0.9975","0.9975","0.9366258741258742","0.9366258741258742","0.9366258741258742","","","","","",""
"25","0.9975","0.9975","0.9975","0.9366258741258742","0.9366258741258742","0.9366258741258742","","","","","",""
"26","0.9975","0.9975","0.9975","0.9414335664335665","0.9414335664335665","0.9414335664335665","","","","","",""
"27","1","1","1","0.9313811188811189","0.9313811188811189","0.9313811188811189","","","","","",""
"28","0.995","0.995","0.995","0.9274475524475524","0.9274475524475524","0.9274475524475524","","","","","",""
"29","0.995","0.995","0.995","0.9357517482517482","0.9357517482517482","0.9357517482517482","","","","","",""
"30","1","1","1","0.9366258741258742","0.9366258741258742","0.9366258741258742","","","","","",""
"31","0.9975","0.9975","0.9975","0.9383741258741258","0.9383741258741258","0.9383741258741258","","","","","",""
