"Step","Sweep run - train_accuracy","Sweep run - train_accuracy__MIN","Sweep run - train_accuracy__MAX","Sweep run - test_accuracy","Sweep run - test_accuracy__MIN","Sweep run - test_accuracy__MAX","Squeeze-and-Excitation Unfreezed WDA - train_accuracy","Squeeze-and-Excitation Unfreezed WDA - train_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - train_accuracy__MAX","Squeeze-and-Excitation Unfreezed WDA - test_accuracy","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MIN","Squeeze-and-Excitation Unfreezed WDA - test_accuracy__MAX"
"0","0.2","0.2","0.2","0.12237762237762238","0.12237762237762238","0.12237762237762238","0.3525","0.3525","0.3525","0.21022727272727273","0.21022727272727273","0.21022727272727273"
"1","0.445","0.445","0.445","0.49213286713286714","0.49213286713286714","0.49213286713286714","0.79","0.79","0.79","0.7176573426573427","0.7176573426573427","0.7176573426573427"
"2","0.6625","0.6625","0.6625","0.6853146853146853","0.6853146853146853","0.6853146853146853","0.9175","0.9175","0.9175","0.8653846153846154","0.8653846153846154","0.8653846153846154"
"3","0.7475","0.7475","0.7475","0.7805944055944056","0.7805944055944056","0.7805944055944056","0.935","0.935","0.935","0.9152097902097902","0.9152097902097902","0.9152097902097902"
"4","0.785","0.785","0.785","0.8251748251748252","0.8251748251748252","0.8251748251748252","0.95","0.95","0.95","0.9296328671328671","0.9296328671328671","0.9296328671328671"
"5","0.8575","0.8575","0.8575","0.861451048951049","0.861451048951049","0.861451048951049","0.965","0.965","0.965","0.9348776223776224","0.9348776223776224","0.9348776223776224"
"6","0.8725","0.8725","0.8725","0.881993006993007","0.881993006993007","0.881993006993007","0.975","0.975","0.975","0.9418706293706294","0.9418706293706294","0.9418706293706294"
"7","0.9025","0.9025","0.9025","0.9055944055944056","0.9055944055944056","0.9055944055944056","0.9875","0.9875","0.9875","0.9493006993006993","0.9493006993006993","0.9493006993006993"
"8","0.905","0.905","0.905","0.9200174825174825","0.9200174825174825","0.9200174825174825","0.9925","0.9925","0.9925","0.9493006993006993","0.9493006993006993","0.9493006993006993"
"9","0.9075","0.9075","0.9075","0.9309440559440559","0.9309440559440559","0.9309440559440559","0.995","0.995","0.995","0.9431818181818182","0.9431818181818182","0.9431818181818182"
"10","0.91","0.91","0.91","0.9366258741258742","0.9366258741258742","0.9366258741258742","0.995","0.995","0.995","0.9471153846153846","0.9471153846153846","0.9471153846153846"
"11","0.9225","0.9225","0.9225","0.9388111888111889","0.9388111888111889","0.9388111888111889","0.985","0.985","0.985","0.9453671328671329","0.9453671328671329","0.9453671328671329"
"12","0.94","0.94","0.94","0.9431818181818182","0.9431818181818182","0.9431818181818182","0.9975","0.9975","0.9975","0.9466783216783217","0.9466783216783217","0.9466783216783217"
"13","0.9225","0.9225","0.9225","0.9479895104895105","0.9479895104895105","0.9479895104895105","0.9975","0.9975","0.9975","0.9484265734265734","0.9484265734265734","0.9484265734265734"
"14","0.935","0.935","0.935","0.9484265734265734","0.9484265734265734","0.9484265734265734","0.9925","0.9925","0.9925","0.9431818181818182","0.9431818181818182","0.9431818181818182"
"15","0.9225","0.9225","0.9225","0.9536713286713286","0.9536713286713286","0.9536713286713286","0.9925","0.9925","0.9925","0.944493006993007","0.944493006993007","0.944493006993007"
"16","0.96","0.96","0.96","0.9506118881118881","0.9506118881118881","0.9506118881118881","0.9975","0.9975","0.9975","0.9471153846153846","0.9471153846153846","0.9471153846153846"
"17","0.9575","0.9575","0.9575","0.9493006993006993","0.9493006993006993","0.9493006993006993","0.99","0.99","0.99","0.9423076923076923","0.9423076923076923","0.9423076923076923"
"18","0.9675","0.9675","0.9675","0.9532342657342657","0.9532342657342657","0.9532342657342657","1","1","1","0.9462412587412588","0.9462412587412588","0.9462412587412588"
"19","0.965","0.965","0.965","0.9527972027972028","0.9527972027972028","0.9527972027972028","0.9925","0.9925","0.9925","0.9471153846153846","0.9471153846153846","0.9471153846153846"
"20","0.96","0.96","0.96","0.9532342657342657","0.9532342657342657","0.9532342657342657","0.995","0.995","0.995","0.9436188811188811","0.9436188811188811","0.9436188811188811"
"21","0.9575","0.9575","0.9575","0.951486013986014","0.951486013986014","0.951486013986014","0.9975","0.9975","0.9975","0.9449300699300699","0.9449300699300699","0.9449300699300699"
"22","0.98","0.98","0.98","0.951486013986014","0.951486013986014","0.951486013986014","0.9925","0.9925","0.9925","0.9493006993006993","0.9493006993006993","0.9493006993006993"
