"epoch","Test all epochs - train_acc","Test all epochs - train_acc__MIN","Test all epochs - train_acc__MAX","Test all epochs - _step","Test all epochs - _step__MIN","Test all epochs - _step__MAX","Test all epochs - test_acc","Test all epochs - test_acc__MIN","Test all epochs - test_acc__MAX","All epochs with augmentation - train_acc","All epochs with augmentation - train_acc__MIN","All epochs with augmentation - train_acc__MAX","All epochs with augmentation - _step","All epochs with augmentation - _step__MIN","All epochs with augmentation - _step__MAX","All epochs with augmentation - test_acc","All epochs with augmentation - test_acc__MIN","All epochs with augmentation - test_acc__MAX"
"0","0.125","0.125","0.125","0.5","0","1","0.11232517659664154","0.11232517659664154","0.11232517659664154","0.125","0.125","0.125","0.5","0","1","0.11145105212926865","0.11145105212926865","0.11145105212926865"
"1","0.125","0.125","0.125","2.5","2","3","0.11276223510503769","0.11276223510503769","0.11276223510503769","0.125","0.125","0.125","2.5","2","3","0.11276223510503769","0.11276223510503769","0.11276223510503769"
"2","0.125","0.125","0.125","4.5","4","5","0.10183566063642502","0.10183566063642502","0.10183566063642502","0.125","0.125","0.125","4.5","4","5","0.1035839170217514","0.1035839170217514","0.1035839170217514"
"3","0.125","0.125","0.125","6.5","6","7","0.1389860212802887","0.1389860212802887","0.1389860212802887","0.125","0.125","0.125","6.5","6","7","0.1381118893623352","0.1381118893623352","0.1381118893623352"
"4","0.125","0.125","0.125","8.5","8","9","0.154720276594162","0.154720276594162","0.154720276594162","0.125","0.125","0.125","8.5","8","9","0.15559440851211548","0.15559440851211548","0.15559440851211548"
"5","0.125","0.125","0.125","10.5","10","11","0.15734265744686127","0.15734265744686127","0.15734265744686127","0.125","0.125","0.125","10.5","10","11","0.15690559148788452","0.15690559148788452","0.15690559148788452"
"6","0.125","0.125","0.125","12.5","12","13","0.15734265744686127","0.15734265744686127","0.15734265744686127","0.1274999976158142","0.1274999976158142","0.1274999976158142","12.5","12","13","0.15734265744686127","0.15734265744686127","0.15734265744686127"
"7","0.125","0.125","0.125","14.5","14","15","0.15690559148788452","0.15690559148788452","0.15690559148788452","0.1274999976158142","0.1274999976158142","0.1274999976158142","14.5","14","15","0.15734265744686127","0.15734265744686127","0.15734265744686127"
"8","0.125","0.125","0.125","16.5","16","17","0.15690559148788452","0.15690559148788452","0.15690559148788452","0.11999999731779099","0.11999999731779099","0.11999999731779099","16.5","16","17","0.15734265744686127","0.15734265744686127","0.15734265744686127"
"9","0.125","0.125","0.125","18.5","18","19","0.15734265744686127","0.15734265744686127","0.15734265744686127","0.11749999970197678","0.11749999970197678","0.11749999970197678","18.5","18","19","0.15734265744686127","0.15734265744686127","0.15734265744686127"
"10","0.125","0.125","0.125","20.5","20","21","0.157779723405838","0.157779723405838","0.157779723405838","0.125","0.125","0.125","20.5","20","21","0.15690559148788452","0.15690559148788452","0.15690559148788452"
"11","0.125","0.125","0.125","22.5","22","23","0.157779723405838","0.157779723405838","0.157779723405838","0.11249999701976776","0.11249999701976776","0.11249999701976776","22.5","22","23","0.15646852552890778","0.15646852552890778","0.15646852552890778"
"12","0.1274999976158142","0.1274999976158142","0.1274999976158142","24.5","24","25","0.15734265744686127","0.15734265744686127","0.15734265744686127","0.11749999970197678","0.11749999970197678","0.11749999970197678","24.5","24","25","0.15559440851211548","0.15559440851211548","0.15559440851211548"
"13","0.12999999523162842","0.12999999523162842","0.12999999523162842","26.5","26","27","0.15690559148788452","0.15690559148788452","0.15690559148788452","0.11999999731779099","0.11999999731779099","0.11999999731779099","26.5","26","27","0.15515734255313873","0.15515734255313873","0.15515734255313873"
"14","0.1274999976158142","0.1274999976158142","0.1274999976158142","28.5","28","29","0.15515734255313873","0.15515734255313873","0.15515734255313873","0.13500000536441803","0.13500000536441803","0.13500000536441803","28.5","28","29","0.15646852552890778","0.15646852552890778","0.15646852552890778"
"15","0.1274999976158142","0.1274999976158142","0.1274999976158142","30.5","30","31","0.154720276594162","0.154720276594162","0.154720276594162","0.11999999731779099","0.11999999731779099","0.11999999731779099","30.5","30","31","0.1512237787246704","0.1512237787246704","0.1512237787246704"
"16","0.11749999970197678","0.11749999970197678","0.11749999970197678","32.5","32","33","0.15428321063518524","0.15428321063518524","0.15428321063518524","0.12250000238418579","0.12250000238418579","0.12250000238418579","32.5","32","33","0.15078671276569366","0.15078671276569366","0.15078671276569366"
"17","0.1274999976158142","0.1274999976158142","0.1274999976158142","34.5","34","35","0.154720276594162","0.154720276594162","0.154720276594162","0.10499999672174454","0.10499999672174454","0.10499999672174454","34.5","34","35","0.15428321063518524","0.15428321063518524","0.15428321063518524"
"18","0.13500000536441803","0.13500000536441803","0.13500000536441803","36.5","36","37","0.154720276594162","0.154720276594162","0.154720276594162","0.13500000536441803","0.13500000536441803","0.13500000536441803","36.5","36","37","0.15428321063518524","0.15428321063518524","0.15428321063518524"
"19","0.14249999821186066","0.14249999821186066","0.14249999821186066","38.5","38","39","0.15646852552890778","0.15646852552890778","0.15646852552890778","0.125","0.125","0.125","38.5","38","39","0.1538461595773697","0.1538461595773697","0.1538461595773697"
"20","0.1274999976158142","0.1274999976158142","0.1274999976158142","40.5","40","41","0.15515734255313873","0.15515734255313873","0.15515734255313873","0.11249999701976776","0.11249999701976776","0.11249999701976776","40.5","40","41","0.1529720276594162","0.1529720276594162","0.1529720276594162"
"21","0.14249999821186066","0.14249999821186066","0.14249999821186066","42.5","42","43","0.157779723405838","0.157779723405838","0.157779723405838","0.11999999731779099","0.11999999731779099","0.11999999731779099","42.5","42","43","0.15340909361839294","0.15340909361839294","0.15340909361839294"
"22","0.14000000059604645","0.14000000059604645","0.14000000059604645","44.5","44","45","0.15821678936481476","0.15821678936481476","0.15821678936481476","0.1274999976158142","0.1274999976158142","0.1274999976158142","44.5","44","45","0.15166084468364716","0.15166084468364716","0.15166084468364716"
"23","0.13750000298023224","0.13750000298023224","0.13750000298023224","46.5","46","47","0.157779723405838","0.157779723405838","0.157779723405838","0.125","0.125","0.125","46.5","46","47","0.15428321063518524","0.15428321063518524","0.15428321063518524"
