"epoch","Depthwise lenet WDA - test_acc","Depthwise lenet WDA - test_acc__MIN","Depthwise lenet WDA - test_acc__MAX","Depthwise lenet WDA - _step","Depthwise lenet WDA - _step__MIN","Depthwise lenet WDA - _step__MAX"
"0","0.15734265744686127","0.15734265744686127","0.15734265744686127","0","0","0"
"1","0.15734265744686127","0.15734265744686127","0.15734265744686127","2","2","2"
"2","0.13548950850963593","0.13548950850963593","0.13548950850963593","4","4","4"
"3","0.13505244255065918","0.13505244255065918","0.13505244255065918","6","6","6"
"4","0.15340909361839294","0.15340909361839294","0.15340909361839294","8","8","8"
"5","0.2819055914878845","0.2819055914878845","0.2819055914878845","10","10","10"
"6","0.3247377574443817","0.3247377574443817","0.3247377574443817","12","12","12"
"7","0.3199300765991211","0.3199300765991211","0.3199300765991211","14","14","14"
"8","0.31381118297576904","0.31381118297576904","0.31381118297576904","16","16","16"
"9","0.310751736164093","0.310751736164093","0.310751736164093","18","18","18"
"10","0.30550700426101685","0.30550700426101685","0.30550700426101685","20","20","20"
"11","0.25218531489372253","0.25218531489372253","0.25218531489372253","22","22","22"
"12","0.2556818127632141","0.2556818127632141","0.2556818127632141","24","24","24"
"13","0.3050699234008789","0.3050699234008789","0.3050699234008789","26","26","26"
"14","0.3339160978794098","0.3339160978794098","0.3339160978794098","28","28","28"
"15","0.29326921701431274","0.29326921701431274","0.29326921701431274","30","30","30"
"16","0.30375874042510986","0.30375874042510986","0.30375874042510986","32","32","32"
"17","0.3387237787246704","0.3387237787246704","0.3387237787246704","34","34","34"
"18","0.37368881702423096","0.37368881702423096","0.37368881702423096","36","36","36"
"19","0.35227271914482117","0.35227271914482117","0.35227271914482117","38","38","38"
"20","0.38680070638656616","0.38680070638656616","0.38680070638656616","40","40","40"
"21","0.3850524425506592","0.3850524425506592","0.3850524425506592","42","42","42"
"22","0.3964160978794098","0.3964160978794098","0.3964160978794098","44","44","44"
"23","0.40646854043006897","0.40646854043006897","0.40646854043006897","46","46","46"
"24","0.4261363744735718","0.4261363744735718","0.4261363744735718","48","48","48"
"25","0.3972901999950409","0.3972901999950409","0.3972901999950409","50","50","50"
"26","0.41258740425109863","0.41258740425109863","0.41258740425109863","52","52","52"
"27","0.4532342553138733","0.4532342553138733","0.4532342553138733","54","54","54"
"28","0.30288460850715637","0.30288460850715637","0.30288460850715637","56","56","56"
"29","0.4545454680919647","0.4545454680919647","0.4545454680919647","58","58","58"
"30","0.42307692766189575","0.42307692766189575","0.42307692766189575","60","60","60"
"31","0.4925699234008789","0.4925699234008789","0.4925699234008789","62","62","62"
"32","0.3964160978794098","0.3964160978794098","0.3964160978794098","64","64","64"
"33","0.47159090638160706","0.47159090638160706","0.47159090638160706","66","66","66"
"34","0.4886363744735718","0.4886363744735718","0.4886363744735718","68","68","68"
"35","0.4925699234008789","0.4925699234008789","0.4925699234008789","70","70","70"
"36","0.5113636255264282","0.5113636255264282","0.5113636255264282","72","72","72"
"37","0.45760488510131836","0.45760488510131836","0.45760488510131836","74","74","74"
"38","0.37543705105781555","0.37543705105781555","0.37543705105781555","76","76","76"
"39","0.5096153616905212","0.5096153616905212","0.5096153616905212","78","78","78"
"40","0.5170454382896423","0.5170454382896423","0.5170454382896423","80","80","80"
"41","0.4654720425605774","0.4654720425605774","0.4654720425605774","82","82","82"
"42","0.5148601531982422","0.5148601531982422","0.5148601531982422","84","84","84"
"43","0.5139859914779663","0.5139859914779663","0.5139859914779663","86","86","86"
"44","0.565996527671814","0.565996527671814","0.565996527671814","88","88","88"
